"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"HUDDINGE MATBÖRSEN",202223,8076,1437.832,0.178037642397226,61.832,0.00765626547795939,0,0,44,0.00544824170381377,701,0.0868003962357603,0,0,0,0,33,0.00408618127786033,82,0.0101535413571075,5,0.000619118375433383,113,0.0139920752847945,398,0.0492818226844973,1437.832,0.178037642397226,1160.832,0.143738484398217,0,0,61.832,0.00765626547795939,0,0,0,0,44,0.00544824170381377,701,0.0868003962357603,0,0,0,0,0,0,0,0,0,0,0,0,68,0.00842000990589401,47,0.0058197127290738,11,0.00136206042595344,107,0.0132491332342744,263,0.0325656265477959,135,0.0167161961367013,1437.832,0.178037642397226,0,0,149,0.0184497275879148,10,0.00123823675086677,118,0.0146111936602278
"HUDDINGE MATBÖRSEN",202222,7614,990.768,0.13012450748621,43.768,0.00574835828736538,11,0.00144470711846598,52,0.00682952456002101,185,0.0242973469923825,0,0,0,0,29,0.00380877331231941,218,0.0286314683477804,8,0.00105069608615708,83,0.0109009718938797,361,0.0474126608878382,979.768,0.128679800367744,589.768,0.077458366167586,11,0.00144470711846598,32.768,0.0043036511688994,0,0,0,0,52,0.00682952456002101,185,0.0242973469923825,0,0,0,0,0,0,0,0,0,0,0,0,71,0.00932492776464408,176,0.0231153138954557,6,0.000788022064617809,85,0.011163645915419,238,0.0312582085631731,123,0.0161544523246651,979.768,0.128679800367744,0,0,291,0.0382190701339638,8,0.00105069608615708,91,0.0119516679800368
"HUDDINGE MATBÖRSEN",202221,7851,1001.601,0.127576232327092,97.601,0.012431664756082,19,0.00242007387593937,38,0.00484014775187874,186,0.0236912495223538,16,0.00203795694815947,0,0,105,0.0133740924722965,66,0.00840657241115781,13,0.00165584002037957,29,0.00369379696853904,432,0.0550248376003057,982.601,0.125156158451153,731.601,0.093185708826901,19,0.00242007387593937,78.601,0.0100115908801427,0,0,0,0,38,0.00484014775187874,186,0.0236912495223538,0,0,16,0.00203795694815947,0,0,0,0,0,0,0,0,140,0.0178321232963954,31,0.00394854158705897,9,0.0011463507833397,33,0.00420328620557891,271,0.034517895809451,161,0.0205069417908547,982.601,0.125156158451153,0,0,135,0.0171952617500955,74,0.00942555088523755,42,0.00534963698891861
"HEDEMORA GUSSARVET",202244,12994,6265.262,0.482165768816377,1963.998,0.151146529167308,837,0.0644143450823457,444,0.0341696167461905,618,0.047560412498076,7,0.000538710173926428,2.264,0.000174234261967062,79,0.00607972910574111,607,0.0467138679390488,37,0.00284746806218255,200,0.0153917192550408,1470,0.11312913652455,5637.262,0.433835770355549,2919.998,0.224718947206403,628,0.0483299984608281,196.998,0.0151606895490226,1139,0.0876558411574573,209,0.0160843466215176,444,0.0341696167461905,571,0.0439433584731415,47,0.00361705402493459,7,0.000538710173926428,0,0,1.316,0.000101277512698168,0,0,0.948,7.29567492688933e-05,155,0.0119285824226566,531,0.0408650146221333,47,0.00361705402493459,190,0.0146221332922887,659,0.0507157149453594,811,0.0624134215791904,5637.262,0.433835770355549,1139,0.0876558411574573,1314,0.101123595505618,27.264,0.00209819916884716,237,0.0182391873172233
"HEDEMORA GUSSARVET",202233,13551,2069.737,0.152736845989226,244.485,0.0180418419304848,233,0.0171943030034684,170,0.0125451996162645,14,0.00103313408604531,0,0,1.252,9.23917054091949e-05,41,0.00302560696627555,312,0.0230241310604383,95,0.00701055272673603,207,0.0152756254150985,752,0.0554940594790052,1836.737,0.135542542985758,1010.485,0.0745690354955354,233,0.0171943030034684,11.485,0.000847538927016456,0,0,0,0,170,0.0125451996162645,3,0.000221385875581138,11,0.000811748210464172,0,0,0,0,0.21,1.54970112906797e-05,0,0,1.042,7.68946941185152e-05,51,0.00376355988487934,302,0.0222861781418346,114,0.00841266327208324,188,0.0138735148697513,407,0.0300346837871744,345,0.0254593756918309,1836.737,0.135542542985758,0,0,509,0.0375618035569331,15.252,0.00112552579145451,302,0.0222861781418346
"HEDEMORA GUSSARVET",202232,13334,2262.886,0.16970796460177,263.656,0.019773211339433,243,0.0182240887955602,427,0.0320233988300585,23,0.00172491375431228,12,0.000899955002249887,2.23,0.000167241637918104,35,0.00262486875656217,70,0.00524973751312434,94,0.00704964751762412,281,0.0210739463026849,812,0.0608969551522424,2019.886,0.15148387580621,1110.656,0.0832950352482376,243,0.0182240887955602,20.656,0.00154912254387281,0,0,0,0,427,0.0320233988300585,10,0.000749962501874906,13,0.000974951252437378,12,0.000899955002249887,0,0,1.546,0.000115944202789861,0,0,0.684,5.12974351282436e-05,42,0.00314984250787461,63,0.00472476376181191,108,0.00809959502024899,267,0.02002399880006,515,0.0386230688465577,297,0.0222738863056847,2019.886,0.15148387580621,0,0,518,0.0388480575971201,16.23,0.00121718914054297,375,0.028123593820309
"HEDEMORA GUSSARVET",202231,12834,2442.105,0.190284011220196,217.162,0.0169208352812841,203,0.0158173601371357,153,0.0119214586255259,537,0.0418419822346891,0,0,3.943,0.000307230793205548,65,0.00506467196509272,68,0.00529842605578931,90,0.00701262272089762,266,0.0207261960417641,839,0.0653732273648122,2239.105,0.174466651083061,1593.162,0.124136044880785,203,0.0158173601371357,14.162,0.00110347514414836,0,0,0,0,153,0.0119214586255259,524,0.0408290478416706,13,0.00101293439301854,0,0,0,0,1.85,0.000144148355929562,0,0,2.093,0.000163082437275986,78,0.00607760635811127,55,0.00428549166277077,97,0.00755804893252299,259,0.0201807698301387,547,0.0426211625370111,292,0.0227520648278012,2239.105,0.174466651083061,0,0,282,0.0219728845254792,7.943,0.000618902914134331,356,0.0277388187626617
"HEDEMORA GUSSARVET",202230,13000,2300.884,0.176991076923077,276.706,0.0212850769230769,262,0.0201538461538462,163,0.0125384615384615,111,0.00853846153846154,4,0.000307692307692308,6.178,0.000475230769230769,7,0.000538461538461538,69,0.00530769230769231,78,0.006,278,0.0213846153846154,1046,0.0804615384615385,2038.884,0.156837230769231,1437.706,0.110592769230769,262,0.0201538461538462,14.706,0.00113123076923077,0,0,0,0,163,0.0125384615384615,103,0.00792307692307692,8,0.000615384615384615,4,0.000307692307692308,0,0,1.204,9.26153846153846e-05,0,0,4.974,0.000382615384615385,18,0.00138461538461538,58,0.00446153846153846,82,0.00630769230769231,274,0.0210769230769231,754,0.058,292,0.0224615384615385,2038.884,0.156837230769231,0,0,239,0.0183846153846154,6.178,0.000475230769230769,356,0.0273846153846154
"HEDEMORA GUSSARVET",202229,13462,2115.232,0.157126132818303,282.478,0.0209833605704947,257,0.0190907740306047,156,0.0115881741197445,88,0.00653691873421483,19,0.00141138018125093,3.754,0.00027885901054821,22,0.00163422968355371,77,0.00571980389243797,87,0.00646263556678057,346,0.0257019759322538,777,0.0577180210964196,1858.232,0.138035358787699,1166.478,0.08664968058238,257,0.0190907740306047,25.478,0.00189258653989006,0,0,0,0,156,0.0115881741197445,51,0.00378844153914723,37,0.0027484771950676,19,0.00141138018125093,0,0,2.09,0.000155251819937602,0,0,1.664,0.000123607190610608,30,0.00222849502302778,69,0.0051255385529639,106,0.0078740157480315,327,0.0242905957510028,519,0.0385529638983806,258,0.0191650571980389,1858.232,0.138035358787699,0,0,246,0.0182736591888278,12.754,0.000947407517456544,433,0.0321646114990343
"HEDEMORA GUSSARVET",202228,12810,2064.115,0.161133099141296,226.703,0.0176973458235753,207,0.0161592505854801,341,0.0266198282591725,18,0.00140515222482436,0,0,4.412,0.000344418423106948,40,0.00312256049960968,70,0.00546448087431694,74,0.00577673692427791,285,0.022248243559719,798,0.0622950819672131,1857.115,0.144973848555816,1042.703,0.0813975800156128,207,0.0161592505854801,19.703,0.00153809523809524,0,0,0,0,341,0.0266198282591725,14,0.00109289617486339,4,0.000312256049960968,0,0,0,0,1.43,0.000111631537861046,0,0,2.982,0.000232786885245902,50,0.0039032006245121,60,0.00468384074941452,65,0.00507416081186573,294,0.0229508196721311,545,0.0425448868071819,253,0.0197501951600312,1857.115,0.144973848555816,0,0,430,0.0335675253708041,25.412,0.00198376268540203,359,0.0280249804839969
