"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_ABP","kampanj_convrate_ABP","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris"
"UPPSALA VÄSTERTORG",202234,8439,2368,0.280601967057708,997,0.118141959947861,157,0.0186041000118497,318,0.0376821898329186,878,0.104040763123593,18,0.00213295414148596,2368,0.280601967057708,997,0.118141959947861,997,0.118141959947861,157,0.0186041000118497,318,0.0376821898329186,878,0.104040763123593,18,0.00213295414148596,2368,0.280601967057708,878,0.104040763123593,175,0.0207370541533357,318,0.0376821898329186
"UPPSALA VÄSTERTORG",202233,8577,290,0.0338113559519646,50,0.00582954412964906,146,0.0170222688585753,42,0.00489681706890521,23,0.00268159029963857,29,0.00338113559519646,290,0.0338113559519646,50,0.00582954412964906,50,0.00582954412964906,146,0.0170222688585753,42,0.00489681706890521,23,0.00268159029963857,29,0.00338113559519646,290,0.0338113559519646,23,0.00268159029963857,175,0.0204034044537717,42,0.00489681706890521
"UPPSALA VÄSTERTORG",202232,7464,283,0.0379153269024652,66,0.00884244372990354,143,0.0191586280814577,43,0.0057609860664523,19,0.00254555198285102,12,0.00160771704180064,283,0.0379153269024652,66,0.00884244372990354,66,0.00884244372990354,143,0.0191586280814577,43,0.0057609860664523,19,0.00254555198285102,12,0.00160771704180064,283,0.0379153269024652,19,0.00254555198285102,155,0.0207663451232583,43,0.0057609860664523
"UPPSALA VÄSTERTORG",202231,6750,211,0.0312592592592593,55,0.00814814814814815,81,0.012,34,0.00503703703703704,31,0.00459259259259259,10,0.00148148148148148,211,0.0312592592592593,55,0.00814814814814815,55,0.00814814814814815,81,0.012,34,0.00503703703703704,31,0.00459259259259259,10,0.00148148148148148,211,0.0312592592592593,31,0.00459259259259259,91,0.0134814814814815,34,0.00503703703703704
"UPPSALA VÄSTERTORG",202230,6874,303,0.0440791387838231,145,0.0210939773057899,91,0.0132382892057026,38,0.00552807681117253,21,0.00305498981670061,8,0.00116380564445738,303,0.0440791387838231,145,0.0210939773057899,145,0.0210939773057899,91,0.0132382892057026,38,0.00552807681117253,21,0.00305498981670061,8,0.00116380564445738,303,0.0440791387838231,21,0.00305498981670061,99,0.01440209485016,38,0.00552807681117253
"UPPSALA VÄSTERTORG",202229,6775,201,0.0296678966789668,59,0.00870848708487085,70,0.0103321033210332,37,0.00546125461254613,18,0.00265682656826568,17,0.00250922509225092,201,0.0296678966789668,59,0.00870848708487085,59,0.00870848708487085,70,0.0103321033210332,37,0.00546125461254613,18,0.00265682656826568,17,0.00250922509225092,201,0.0296678966789668,18,0.00265682656826568,87,0.0128413284132841,37,0.00546125461254613
"UPPSALA VÄSTERTORG",202228,6838,271,0.0396314711904066,70,0.0102369113775958,130,0.0190114068441065,25,0.00365603977771278,23,0.00336355659549576,23,0.00336355659549576,271,0.0396314711904066,70,0.0102369113775958,70,0.0102369113775958,130,0.0190114068441065,25,0.00365603977771278,23,0.00336355659549576,23,0.00336355659549576,271,0.0396314711904066,23,0.00336355659549576,153,0.0223749634396022,25,0.00365603977771278
"UPPSALA VÄSTERTORG",202227,6995,242,0.0345961401000715,72,0.0102930664760543,87,0.0124374553252323,36,0.00514653323802716,29,0.0041458184417441,18,0.00257326661901358,242,0.0345961401000715,72,0.0102930664760543,72,0.0102930664760543,87,0.0124374553252323,36,0.00514653323802716,29,0.0041458184417441,18,0.00257326661901358,242,0.0345961401000715,29,0.0041458184417441,105,0.0150107219442459,36,0.00514653323802716
"UPPSALA VÄSTERTORG",202226,7297,230,0.0315198026586268,40,0.00548170481019597,132,0.0180896258736467,30,0.00411127860764698,11,0.00150746882280389,17,0.00232972454433329,230,0.0315198026586268,40,0.00548170481019597,40,0.00548170481019597,132,0.0180896258736467,30,0.00411127860764698,11,0.00150746882280389,17,0.00232972454433329,230,0.0315198026586268,11,0.00150746882280389,149,0.02041935041798,30,0.00411127860764698
"UPPSALA VÄSTERTORG",202225,7309,281,0.0384457518128335,73,0.00998768641401012,144,0.0197017375838008,30,0.00410452866329183,16,0.00218908195375564,18,0.0024627171979751,281,0.0384457518128335,73,0.00998768641401012,73,0.00998768641401012,144,0.0197017375838008,30,0.00410452866329183,16,0.00218908195375564,18,0.0024627171979751,281,0.0384457518128335,16,0.00218908195375564,162,0.0221644547817759,30,0.00410452866329183
