"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"ÖRNSKÖLDSVIK DOMSJÖ",202227,6596,1129,0.17116434202547,99,0.015009096422074,91,0.0137962401455428,46,0.00697392359005458,565,0.0856579745300182,0,0,0,0,0,0,93,0.0140994542146756,143,0.0216798059429958,6,0.000909642207398423,86,0.0130382049727107,1129,0.17116434202547,189,0.0286537295330503,0,0,6,0.000909642207398423,93,0.0140994542146756,91,0.0137962401455428,29,0.00439660400242571,17,0.00257731958762887,268,0.0406306852637962,297,0.045027289266222,0,0,0,0,0,0,25,0.0037901758641601,68,0.0103092783505155,143,0.0216798059429958,6,0.000909642207398423,34,0.00515463917525773,52,0.007883565797453,1129,0.17116434202547,99,0.015009096422074,93,0.0140994542146756,748,0.11340206185567,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202226,7080,1112,0.157062146892655,170,0.0240112994350282,248,0.0350282485875706,97,0.0137005649717514,298,0.042090395480226,0,0,0,0,1,0.000141242937853107,94,0.0132768361581921,101,0.0142655367231638,6,0.000847457627118644,97,0.0137005649717514,1042,0.147175141242938,421,0.0594632768361582,70,0.00988700564971751,7,0.000988700564971751,93,0.013135593220339,178,0.0251412429378531,75,0.0105932203389831,22,0.00310734463276836,201,0.0283898305084746,97,0.0137005649717514,0,0,0,0,0,0,22,0.00310734463276836,73,0.0103107344632768,101,0.0142655367231638,6,0.000847457627118644,21,0.00296610169491525,76,0.0107344632768362,1042,0.147175141242938,102,0.0144067796610169,93,0.013135593220339,426,0.0601694915254237,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202225,6808,1510.278,0.221838719153937,351,0.0515569917743831,350,0.0514101057579318,49,0.00719741480611046,381,0.0559635722679201,1.278,0.000187720329024677,0,0,1,0.000146886016451234,237,0.0348119858989424,61,0.00896004700352526,3,0.000440658049353702,76,0.0111633372502938,1188.278,0.174541421856639,463.278,0.0680490599294947,322,0.0472972972972973,3,0.000440658049353702,26,0.00381903642773208,28,0.00411280846063455,21,0.00308460634547591,28,0.00411280846063455,174,0.0255581668625147,207,0.0304054054054054,1.278,0.000187720329024677,0,0,0,0,24,0.00352526439482961,214,0.031433607520564,61,0.00896004700352526,3,0.000440658049353702,13,0.00190951821386604,63,0.00925381903642773,1188.278,0.174541421856639,241,0.0353995299647474,26,0.00381903642773208,458,0.0672737955346651,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202224,6850,823.56,0.120227737226277,29,0.00423357664233577,82,0.011970802919708,50,0.0072992700729927,361,0.0527007299270073,6.56,0.000957664233576642,0,0,74,0.0108029197080292,49,0.00715328467153285,81,0.0118248175182482,12,0.00175182481751825,79,0.0115328467153285,823.56,0.120227737226277,204.56,0.0298627737226277,0,0,4,0.000583941605839416,25,0.00364963503649635,82,0.011970802919708,23,0.00335766423357664,27,0.00394160583941606,197,0.0287591240875912,164,0.0239416058394161,6.56,0.000957664233576642,0,0,0,0,77,0.0112408759124088,46,0.00671532846715328,81,0.0118248175182482,12,0.00175182481751825,13,0.0018978102189781,66,0.00963503649635036,823.56,0.120227737226277,127,0.0185401459854015,25,0.00364963503649635,467,0.0681751824817518,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202223,7105,1381,0.194370161857847,365,0.0513722730471499,366,0.0515130190007037,40,0.00562983814215341,396,0.0557353976073188,0,0,0,0,1,0.000140745953553835,74,0.0104152005629838,48,0.0067558057705841,6,0.000844475721323012,85,0.011963406052076,1040,0.146375791695989,467,0.0657283603096411,341,0.0479943701618578,8,0.00112596762843068,16,0.00225193525686137,25,0.00351864883884588,20,0.00281491907107671,20,0.00281491907107671,278,0.0391273750879662,118,0.0166080225193526,0,0,0,0,0,0,25,0.00351864883884588,50,0.00703729767769177,48,0.0067558057705841,6,0.000844475721323012,24,0.00337790288529205,61,0.00858550316678395,1040,0.146375791695989,83,0.0116819141449683,16,0.00225193525686137,474,0.0667135819845179,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202222,6681,1121,0.167789253105822,257,0.0384672953150726,270,0.0404131118096093,36,0.00538841490794791,369,0.0552312528064661,0,0,0,0,0,0,63,0.00942972608890885,47,0.00703487501870977,10,0.00149678191887442,69,0.0103277952402335,880,0.131716808860949,364,0.0544828618470289,241,0.0360724442448735,6,0.000898069151324652,10,0.00149678191887442,29,0.00434066756473582,17,0.00254452926208651,19,0.0028438856458614,212,0.0317317766801377,157,0.0234994761263284,0,0,0,0,0,0,21,0.00314324202963628,42,0.00628648405927256,47,0.00703487501870977,10,0.00149678191887442,11,0.00164646011076186,58,0.00868133512947164,880,0.131716808860949,69,0.0103277952402335,10,0.00149678191887442,437,0.0654093698548122,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202221,6428,690,0.107342874922215,13,0.00202240199128811,23,0.00357809583074051,47,0.00731176104542626,438,0.0681393901680149,0,0,0,0,0,0,41,0.00637834474175482,61,0.00948973242065961,9,0.00140012445550716,58,0.00902302426882389,690,0.107342874922215,106,0.0164903546981954,0,0,2,0.000311138767890479,11,0.00171126322339764,23,0.00357809583074051,25,0.00388923459863099,22,0.00342252644679527,281,0.0437149968886123,157,0.0244243932794026,0,0,0,0,0,0,3,0.000466708151835719,38,0.0059116365899191,61,0.00948973242065961,9,0.00140012445550716,22,0.00342252644679527,36,0.00560049782202863,690,0.107342874922215,43,0.0066894835096453,11,0.00171126322339764,530,0.082451773490977,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202220,6787,1123,0.16546338588478,20,0.00294681007809047,238,0.0350670399292766,42,0.00618830116398998,557,0.0820686606748195,0,0,0,0,0,0,71,0.0104611757772212,115,0.0169441579490202,7,0.00103138352733166,73,0.0107558567850302,1123,0.16546338588478,337,0.0496537498158244,0,0,8,0.00117872403123619,12,0.00176808604685428,238,0.0350670399292766,16,0.00235744806247237,26,0.00383085310151761,208,0.0306468248121409,349,0.0514218358626786,0,0,0,0,0,0,24,0.00353617209370856,47,0.0069250036835126,115,0.0169441579490202,7,0.00103138352733166,16,0.00235744806247237,57,0.00839840872255783,1123,0.16546338588478,79,0.0116398998084573,12,0.00176808604685428,695,0.102401650213644,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202219,6248,735,0.117637644046095,31,0.00496158770806658,39,0.00624199743918054,60,0.00960307298335467,404,0.0646606914212548,0,0,0,0,0,0,85,0.0136043533930858,34,0.00544174135723431,10,0.00160051216389245,72,0.0115236875800256,727,0.116357234314981,150,0.0240076824583867,8,0.00128040973111396,9,0.0014404609475032,14,0.00224071702944942,31,0.00496158770806658,42,0.00672215108834827,18,0.0028809218950064,182,0.0291293213828425,222,0.0355313700384123,0,0,0,0,0,0,18,0.0028809218950064,67,0.0107234314980794,34,0.00544174135723431,10,0.00160051216389245,21,0.00336107554417414,51,0.00816261203585147,727,0.116357234314981,94,0.015044814340589,14,0.00224071702944942,469,0.0750640204865557,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202218,6471,1105,0.17076186060887,142,0.0219440581053933,326,0.0503786122701283,49,0.00757224540256529,358,0.0553237521248648,0,0,0,0,0,0,77,0.0118992427754597,74,0.0114356359140782,3,0.000463606861381548,76,0.0117447071549992,1036,0.160098902797095,421,0.0650594962138773,69,0.0106629578117756,47,0.00726317416164426,26,0.00401792613197342,257,0.0397156544583527,26,0.00401792613197342,23,0.00355431927059187,216,0.0333796940194715,142,0.0219440581053933,0,0,0,0,0,0,14,0.00216349868644723,63,0.00973574408901252,74,0.0114356359140782,3,0.000463606861381548,30,0.00463606861381548,46,0.00710863854118374,1036,0.160098902797095,124,0.019162416937104,26,0.00401792613197342,465,0.07185906351414,0,0
