"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"VENDELSÖ SÅGEN",202224,7999,708,0.0885110638829854,62,0.00775096887110889,62,0.00775096887110889,28,0.00350043755469434,86,0.0107513439179897,0,0,0,0,5,0.000625078134766846,87,0.0108763595449431,3,0.000375046880860108,155,0.0193774221777722,220,0.0275034379297412,678,0.0847605950743843,355,0.0443805475684461,30,0.00375046880860108,0,0,32,0.00400050006250781,32,0.00400050006250781,20,0.00250031253906738,8,0.00100012501562695,86,0.0107513439179897,0,0,0,0,0,0,0,0,0,0,0,0,30,0.00375046880860108,62,0.00775096887110889,158,0.0197524690586323,219,0.0273784223027878,1,0.000125015626953369,646,0.0807600950118765,100,0.0125015626953369,32,0.00400050006250781,0,0,159,0.0198774846855857
"VENDELSÖ SÅGEN",202223,8419,1043,0.123886447321535,213,0.0252999168547333,213,0.0252999168547333,68,0.00807696876113553,79,0.00938353723720157,2,0.00023755790473928,0,0,7,0.000831452666587481,190,0.0225680009502316,7,0.000831452666587481,87,0.0103337688561587,177,0.0210238745694263,867,0.102981351704478,348,0.0413350754246348,176,0.0209050956170567,0,0,37,0.00439482123767668,37,0.00439482123767668,24,0.00285069485687136,44,0.00522627390426416,79,0.00938353723720157,0,0,2,0.00023755790473928,0,0,0,0,0,0,0,0,77,0.00914597933246229,120,0.0142534742843568,94,0.0111652215227462,168,0.0199548639980995,9,0.00106901057132676,830,0.0985865304668013,342,0.0406224017104169,37,0.00439482123767668,0,0,103,0.0122342320940729
"VENDELSÖ SÅGEN",202222,8040,1153,0.143407960199005,142,0.0176616915422886,142,0.0176616915422886,21,0.00261194029850746,79,0.00982587064676617,9,0.00111940298507463,0,0,10,0.00124378109452736,364,0.045273631840796,2,0.000248756218905473,136,0.0169154228855721,248,0.0308457711442786,1073,0.133457711442786,591,0.0735074626865672,80,0.00995024875621891,0,0,62,0.00771144278606965,62,0.00771144278606965,21,0.00261194029850746,0,0,78,0.00970149253731343,1,0.000124378109452736,9,0.00111940298507463,0,0,0,0,0,0,0,0,251,0.0312189054726368,123,0.0152985074626866,138,0.0171641791044776,240,0.0298507462686567,8,0.00099502487562189,1011,0.125746268656716,212,0.0263681592039801,62,0.00771144278606965,0,0,146,0.0181592039800995
"VENDELSÖ SÅGEN",202221,7987,830,0.103918868160761,104,0.013021159383999,104,0.013021159383999,20,0.0025040691123075,82,0.0102666833604607,0,0,0,0,13,0.00162764492299987,182,0.0227870289219982,8,0.001001627644923,61,0.00763741079253787,256,0.032052084637536,776,0.097157881557531,423,0.0529610617253036,54,0.00676098660323025,0,0,50,0.00626017278076875,50,0.00626017278076875,20,0.0025040691123075,0,0,79,0.00989107299361462,3,0.000375610366846125,0,0,0,0,0,0,0,0,0,0,74,0.00926505571553775,121,0.0151496181294604,69,0.00863903843746087,247,0.0309252535369976,9,0.00112683110053837,726,0.0908977087767622,175,0.0219106047326906,50,0.00626017278076875,0,0,78,0.00976586953799925
"VÄNERSBORG TORPA",202241,14836,8811.669,0.593938325694257,2441.015,0.164533229981127,2370,0.159746562415745,160,0.0107845780533837,1939,0.130695605284443,0,0,39.654,0.00267282286330547,135,0.00909948773254246,1029,0.0693583176058237,46,0.0031005661903478,222,0.0149636020490698,430,0.0289835535184686,7385.355,0.497799609059046,3363.015,0.22667936101375,1456,0.0981396602857913,71.015,0.0047866675653815,914,0.0616069021299542,914,0.0616069021299542,100,0.00674036128336479,60,0.00404421677001887,1817,0.122472364518738,122,0.00822324076570504,0,0,39.654,0.00267282286330547,0,0,29.686,0.00200094365057967,0,0,859,0.0578997034241035,305,0.0205581019142626,268,0.0180641682394176,394,0.0265570234564573,36,0.00242653006201132,6441.669,0.434191763278512,1821,0.122741978970073,914,0.0616069021299542,39.654,0.00267282286330547,304,0.020490698301429
"VÄNERSBORG TORPA",202233,15975,1696.532,0.106199186228482,227,0.0142097026604069,227,0.0142097026604069,44,0.00275430359937402,93,0.00582159624413146,0,0,34.532,0.00216162754303599,0,0,157,0.00982785602503912,67,0.00419405320813772,442,0.0276682316118936,405,0.0253521126760563,1611.542,0.100878998435055,614,0.0384350547730829,111,0.00694835680751174,0,0,116,0.00726134585289515,116,0.00726134585289515,37,0.00231611893583725,7,0.000438184663536776,93,0.00582159624413146,0,0,0,0,34.532,0.00216162754303599,0,0,26.01,0.00162816901408451,0,0,108,0.00676056338028169,49,0.00306729264475743,509,0.0318622848200313,376,0.0235367762128326,29,0.00181533646322379,1469.532,0.0919894835680751,167,0.0104538341158059,116,0.00726134585289515,34.532,0.00216162754303599,538,0.0336776212832551
"VÄNERSBORG TORPA",202232,15380,1627,0.105786736020806,277,0.0180104031209363,277,0.0180104031209363,46,0.00299089726918075,111,0.00721716514954486,0,0,38,0.00247074122236671,0,0,151,0.00981794538361508,48,0.00312093628088427,277,0.0180104031209363,402,0.0261378413524057,1499.284,0.0974827048114434,614,0.0399219765929779,159,0.0103381014304291,0,0,118,0.00767230169050715,118,0.00767230169050715,42,0.00273081924577373,4,0.000260078023407022,111,0.00721716514954486,0,0,0,0,38,0.00247074122236671,0,0,31.284,0.00203407022106632,0,0,96,0.00624187256176853,55,0.00357607282184655,325,0.0211313394018205,365,0.0237321196358908,37,0.00240572171651495,1350,0.08777633289987,218,0.0141742522756827,118,0.00767230169050715,38,0.00247074122236671,362,0.0235370611183355
"VÄNERSBORG TORPA",202231,13715,2836.605,0.206825009114109,841,0.0613197229310973,841,0.0613197229310973,80,0.00583302952971199,108,0.00787458986511119,0,0,42.605,0.00310645278891724,0,0,167,0.0121764491432738,51,0.0037185563251914,314,0.0228946409041196,392,0.0285818446955888,2725.586,0.19873029529712,657,0.0479037550127598,147,0.0107181917608458,0,0,694,0.0506015311702515,694,0.0506015311702515,78,0.00568720379146919,2,0.0001458257382428,108,0.00787458986511119,0,0,0,0,42.605,0.00310645278891724,0,0,35.981,0.00262347794385709,0,0,106,0.00772876412686839,61,0.0044476850164054,365,0.026613197229311,365,0.026613197229311,27,0.0019686474662778,1995.605,0.145505286183011,210,0.015311702515494,694,0.0506015311702515,42.605,0.00310645278891724,392,0.0285818446955888
"VÄNERSBORG TORPA",202230,13824,1949.144,0.140997106481481,345,0.0249565972222222,345,0.0249565972222222,45,0.00325520833333333,89,0.0064380787037037,0,0,33.144,0.00239756944444444,0,0,307,0.0222077546296296,44,0.00318287037037037,178,0.0128761574074074,563,0.0407262731481481,1738.256,0.125741898148148,770,0.0557002314814815,238,0.0172164351851852,0,0,107,0.00774016203703704,107,0.00774016203703704,42,0.00303819444444444,3,0.000217013888888889,89,0.0064380787037037,0,0,0,0,33.144,0.00239756944444444,0,0,27.112,0.00196122685185185,0,0,98,0.00708912037037037,209,0.0151186342592593,222,0.0160590277777778,541,0.039134837962963,22,0.00159143518518519,1604.144,0.116040509259259,450,0.0325520833333333,107,0.00774016203703704,33.144,0.00239756944444444,244,0.017650462962963
"VÄNERSBORG TORPA",202229,14252,2755.194,0.19331981476284,506,0.0355037889419029,506,0.0355037889419029,35,0.00245579567779961,73,0.00512208812798204,0,0,38.194,0.00267990457479652,13,0.000912152680325568,146,0.0102441762559641,749,0.0525540275049116,263,0.0184535503788942,426,0.0298905416783609,2375.702,0.16669253438114,612,0.042941341566096,408,0.028627561044064,0,0,98,0.0068762278978389,98,0.0068762278978389,33,0.00231546449621106,2,0.000140331181588549,73,0.00512208812798204,0,0,0,0,38.194,0.00267990457479652,0,0,28.508,0.00200028066236318,0,0,101,0.00708672467022172,58,0.00406960426606792,1012,0.0710075778838058,405,0.0284170642716812,21,0.00147347740667976,2249.194,0.157816025820937,468,0.0328374964917205,98,0.0068762278978389,38.194,0.00267990457479652,1033,0.0724810552904855
