"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Vara_1_Deli","kampanj_convrate_Vara_1_Deli","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_2_Gavel_1","kampanj_convrate_Vara_2_Gavel_1","kampanj_count_OBS_snabbnudlar_Triangeln","kampanj_convrate_OBS_snabbnudlar_Triangeln","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"NORRKÖPING LASARETTSGATAN",202229,5895,1315,0.223070398642918,65,0.0110262934690416,9,0.00152671755725191,11,0.00186598812553011,125,0.0212044105173876,2,0.000339270568278202,31,0.00525869380831213,74,0.0125530110262935,20,0.00339270568278202,574,0.0973706530958439,207,0.0351145038167939,197,0.0334181509754029,1315,0.223070398642918,116,0.0196776929601357,0,0,65,0.0110262934690416,9,0.00152671755725191,11,0.00186598812553011,0,0,92,0.0156064461407973,33,0.00559796437659033,2,0.000339270568278202,0,0,31,0.00525869380831213,0,0,0,0,74,0.0125530110262935,1,0.000169635284139101,19,0.00322307039864292,563,0.0955046649703138,11,0.00186598812553011,203,0.0344359626802375,4,0.000678541136556404,166,0.0281594571670908,31,0.00525869380831213,1315,0.223070398642918,65,0.0110262934690416,1092,0.185241730279898,42,0.00712468193384224
"NORRKÖPING LASARETTSGATAN",202228,5799,757,0.130539748232454,69,0.0118986032074496,12,0.00206932229694775,9,0.00155199172271081,146,0.0251767546128643,7,0.00120710467321952,18,0.00310398344542162,72,0.0124159337816865,35,0.0060355233660976,40,0.00689774098982583,187,0.0322469391274358,162,0.0279358510087946,757,0.130539748232454,135,0.0232798758406622,0,0,69,0.0118986032074496,12,0.00206932229694775,9,0.00155199172271081,0,0,116,0.0200034488704949,30,0.00517330574236937,7,0.00120710467321952,0,0,18,0.00310398344542162,0,0,0,0,72,0.0124159337816865,2,0.000344887049491292,33,0.00569063631660631,30,0.00517330574236937,10,0.00172443524745646,181,0.0312122779789619,6,0.00103466114847387,130,0.022417658216934,32,0.00551819279186067,757,0.130539748232454,69,0.0118986032074496,525,0.090532850491464,28,0.00482841869287808
"NORRKÖPING LASARETTSGATAN",202227,5966,732.02,0.122698625544754,68.01,0.0113995977204157,17.01,0.00285115655380489,9,0.00150854844116661,116,0.019443513241703,2,0.000335232986925914,33,0.00553134428427757,59,0.00988937311431445,41,0.00687227623198123,30,0.0050284948038887,192,0.0321823667448877,165,0.0276567214213879,727.01,0.121858866912504,128.01,0.0214565873281931,5.01,0.000839758632249413,63,0.0105598390881663,12,0.00201139792155548,9,0.00150854844116661,0,0,99,0.0165940328528327,17,0.00284948038887026,2,0.000335232986925914,0,0,33,0.00553134428427757,0,0,0,0,59,0.00988937311431445,1,0.000167616493462957,40,0.00670465973851827,24,0.00402279584311096,6,0.00100569896077774,185,0.031009051290647,7,0.0011733154542407,139,0.023298692591351,26,0.00435802883003688,727.01,0.121858866912504,63,0.0105598390881663,497,0.0833053972510895,39,0.00653704324505531
"NORRKÖPING LASARETTSGATAN",202226,6408,793.594,0.123844257178527,78.297,0.0122186329588015,29.297,0.00457194132334582,8,0.00124843945068664,159,0.024812734082397,0,0,47,0.00733458177278402,58,0.00905118601747815,38,0.00593008739076155,29,0.00452559300873908,150,0.0234082397003745,197,0.0307428214731586,779.297,0.121613139825218,133.297,0.0208016541822722,14.297,0.00223111735330836,64,0.00998751560549313,15,0.00234082397003745,8,0.00124843945068664,0,0,126,0.0196629213483146,33,0.0051498127340824,0,0,0,0,47,0.00733458177278402,0,0,0,0,58,0.00905118601747815,2,0.00031210986267166,36,0.00561797752808989,20,0.0031210986267166,9,0.00140449438202247,140,0.0218476903870162,10,0.0015605493133583,134,0.0209113607990012,63,0.0098314606741573,779.297,0.121613139825218,64,0.00998751560549313,526,0.0820848938826467,56,0.00873907615480649
"NORRKÖPING LASARETTSGATAN",202225,5712,821.286,0.14378256302521,222.643,0.0389781162464986,14.643,0.00256355042016807,16,0.00280112044817927,104,0.0182072829131653,0,0,42,0.00735294117647059,64,0.0112044817927171,26,0.00455182072829132,19,0.00332633053221289,125,0.0218837535014006,188,0.0329131652661064,809.643,0.141744222689076,120.643,0.0211209733893557,11.643,0.00203834033613445,211,0.0369397759103641,3,0.000525210084033613,16,0.00280112044817927,0,0,91,0.0159313725490196,13,0.00227591036414566,0,0,0,0,42,0.00735294117647059,0,0,0,0,64,0.0112044817927171,2,0.000350140056022409,24,0.00420168067226891,13,0.00227591036414566,6,0.00105042016806723,112,0.0196078431372549,13,0.00227591036414566,166,0.0290616246498599,22,0.0038515406162465,809.643,0.141744222689076,211,0.0369397759103641,430,0.0752801120448179,48,0.00840336134453781
"NORRKÖPING LASARETTSGATAN",202224,7122,1201.544,0.168708789665824,37.772,0.00530356641392867,31.772,0.00446110643077787,32,0.0044931199101376,163,0.0228868295422634,9,0.0012636899747262,310,0.043527099129458,135,0.018955349620893,48,0.0067396798652064,33,0.0046335299073294,235,0.032996349340073,167,0.0234484695310306,1181.772,0.165932603201348,255.772,0.0359129458017411,19.772,0.00277618646447627,18,0.0025273799494524,12,0.0016849199663016,32,0.0044931199101376,0,0,120,0.016849199663016,43,0.0060376298792474,9,0.0012636899747262,0,0,310,0.043527099129458,0,0,0,0,135,0.018955349620893,0,0,48,0.0067396798652064,24,0.0033698399326032,9,0.0012636899747262,219,0.0307497893850042,16,0.0022465599550688,139,0.0195169896096602,28,0.0039314799213704,1181.772,0.165932603201348,18,0.0025273799494524,589,0.0827014883459702,319,0.0447907891041842
"NORRKÖPING LASARETTSGATAN",202223,6812,876.102,0.128611567821491,38.051,0.00558587786259542,24.051,0.00353068115091016,11,0.00161479741632413,216,0.0317087492660012,0,0,41,0.00601879036993541,88,0.0129183793305931,33,0.0048443922489724,35,0.00513799177921315,217,0.0318555490311216,173,0.025396359365825,860.051,0.126255284791544,156.051,0.0229082501467998,16.051,0.00235628302994715,22,0.00322959483264827,8,0.00117439812096301,11,0.00161479741632413,0,0,171,0.0251027598355843,45,0.00660598943041691,0,0,0,0,41,0.00601879036993541,0,0,0,0,88,0.0129183793305931,2,0.000293599530240752,31,0.00455079271873165,26,0.00381679389312977,9,0.00132119788608338,210,0.0308279506752789,7,0.00102759835584263,145,0.0212859659424545,28,0.00411039342337052,860.051,0.126255284791544,22,0.00322959483264827,632,0.0927774515560775,50,0.00733998825601879
"NORRKÖPING LASARETTSGATAN",202222,7118,883.704,0.124150604102276,28.352,0.00398314133183479,36.352,0.00510705254284912,15,0.00210733352065187,270,0.0379320033717336,0,0,44,0.00618151166057881,118,0.0165776903624614,44,0.00618151166057881,22,0.00309075583028941,141,0.0198089350941276,165,0.0231806687271706,867.352,0.121853329586963,213.352,0.0299735880865412,16.352,0.00229727451531329,12,0.00168586681652149,20,0.00280977802753582,15,0.00210733352065187,0,0,240,0.0337173363304299,30,0.00421466704130374,0,0,0,0,44,0.00618151166057881,0,0,0,0,118,0.0165776903624614,3,0.000421466704130374,41,0.00576004495644844,19,0.00266928912615903,3,0.000421466704130374,133,0.0186850238831132,8,0.00112391121101433,133,0.0186850238831132,32,0.00449564484405732,867.352,0.121853329586963,12,0.00168586681652149,595,0.0835908963191908,47,0.00660297836470919
"NORRKÖPING LASARETTSGATAN",202221,6721,892.958,0.132860883797054,33.479,0.00498125278976343,57.479,0.00855214997768189,8,0.00119029906263949,166,0.0246987055497694,0,0,53,0.00788573128998661,79,0.0117542032435649,40,0.00595149531319744,28,0.00416604671923821,157,0.0233596191043,271,0.0403213807469127,879.479,0.130855378663889,184.479,0.0274481475970838,13.479,0.00200550513316471,20,0.00297574765659872,44,0.00654664484451719,8,0.00119029906263949,0,0,120,0.0178544859395923,46,0.00684421961017706,0,0,0,0,53,0.00788573128998661,0,0,0,0,79,0.0117542032435649,1,0.000148787382829936,39,0.00580270793036751,21,0.00312453503942866,7,0.00104151167980955,152,0.0226156821901503,5,0.00074393691414968,241,0.0358577592620146,30,0.00446362148489808,879.479,0.130855378663889,20,0.00297574765659872,615,0.0915042404404107,60,0.00892724296979616
"NORRKÖPING LASARETTSGATAN",202220,7102,774,0.108983384961983,15,0.00211208110391439,9,0.00126724866234863,10,0.00140805406927626,221,0.0311179949310054,5,0.00070402703463813,40,0.00563221627710504,80,0.0112644325542101,35,0.00492818924246691,33,0.00464657842861166,152,0.0214024218529992,174,0.0245001408054069,774,0.108983384961983,139,0.01957195156294,0,0,15,0.00211208110391439,9,0.00126724866234863,10,0.00140805406927626,0,0,160,0.0225288651084202,61,0.00858912982258519,5,0.00070402703463813,0,0,40,0.00563221627710504,0,0,0,0,80,0.0112644325542101,2,0.000281610813855252,33,0.00464657842861166,21,0.00295691354548015,12,0.00168966488313151,148,0.0208392002252887,4,0.000563221627710504,144,0.0202759785975781,30,0.00422416220782878,774,0.108983384961983,15,0.00211208110391439,568,0.0799774711348916,52,0.00732188116023655
"NORRKÖPING LASARETTSGATAN",202219,6837,697,0.101945297645166,15,0.00219394471259324,13,0.00190141875091414,18,0.00263273365511189,185,0.0270586514553167,0,0,45,0.00658183413777973,65,0.00950709375457072,71,0.010384671639608,26,0.00380283750182829,90,0.0131636682755595,169,0.0247184437618839,697,0.101945297645166,167,0.0244259178002048,0,0,15,0.00219394471259324,13,0.00190141875091414,18,0.00263273365511189,0,0,119,0.0174052947199064,66,0.00965335673541027,0,0,0,0,45,0.00658183413777973,0,0,0,0,65,0.00950709375457072,1,0.00014626298083955,70,0.0102384086587685,16,0.00234020769343279,10,0.0014626298083955,76,0.0111159865438058,14,0.00204768173175369,146,0.0213543952025742,23,0.00336404855930964,697,0.101945297645166,15,0.00219394471259324,460,0.0672809711861928,55,0.00804446394617522
"NORRKÖPING LASARETTSGATAN",202218,6883,1200,0.174342583175941,19,0.00276042423361906,12,0.00174342583175941,17,0.00246985326165916,287,0.0416969344762458,4,0.000581141943919802,186,0.0270231003922708,216,0.0313816649716693,55,0.00799070172889728,53,0.00770013075693738,175,0.0254249600464914,176,0.0255702455324713,1200,0.174342583175941,304,0.044166787737905,0,0,19,0.00276042423361906,12,0.00174342583175941,17,0.00246985326165916,0,0,117,0.0169984018596542,170,0.0246985326165916,4,0.000581141943919802,0,0,186,0.0270231003922708,0,0,0,0,216,0.0313816649716693,2,0.000290570971959901,53,0.00770013075693738,44,0.00639256138311783,9,0.00130756937381956,167,0.0242626761586518,8,0.0011622838878396,148,0.0215022519250327,28,0.00406799360743862,1200,0.174342583175941,19,0.00276042423361906,682,0.0990847014383263,195,0.0283306697660904
"NORRKÖPING LASARETTSGATAN",202217,6938,1212,0.17469011242433,21,0.00302680887863938,11,0.00158547131738253,12,0.00172960507350822,536,0.077255693283367,6,0.000864802536754108,50,0.00720668780628423,101,0.0145575093686941,163,0.0234938022484866,24,0.00345921014701643,117,0.0168636494667051,171,0.0246468722974921,1212,0.17469011242433,293,0.0422311905448256,0,0,21,0.00302680887863938,11,0.00158547131738253,12,0.00172960507350822,0,0,134,0.0193139233208417,402,0.0579417699625252,6,0.000864802536754108,0,0,50,0.00720668780628423,0,0,0,0,101,0.0145575093686941,14,0.00201787258575958,149,0.021475929662727,15,0.00216200634188527,9,0.00129720380513116,106,0.0152781781493226,11,0.00158547131738253,140,0.0201787258575959,31,0.00446814643989622,1212,0.17469011242433,21,0.00302680887863938,839,0.120928221389449,59,0.00850389161141539
"NORRKÖPING LASARETTSGATAN",202216,6675,1440,0.215730337078652,60,0.00898876404494382,17,0.00254681647940075,13,0.00194756554307116,741,0.111011235955056,3,0.000449438202247191,59,0.00883895131086142,89,0.0133333333333333,54,0.00808988764044944,30,0.00449438202247191,195,0.0292134831460674,179,0.0268164794007491,1440,0.215730337078652,176,0.0263670411985019,0,0,60,0.00898876404494382,17,0.00254681647940075,13,0.00194756554307116,0,0,645,0.0966292134831461,96,0.0143820224719101,3,0.000449438202247191,0,0,59,0.00883895131086142,0,0,0,0,89,0.0133333333333333,1,0.000149812734082397,53,0.00794007490636704,18,0.00269662921348315,12,0.00179775280898876,187,0.0280149812734082,8,0.00119850187265918,147,0.0220224719101124,32,0.0047940074906367,1440,0.215730337078652,60,0.00898876404494382,1133,0.169737827715356,71,0.0106367041198502
"NORRKÖPING LASARETTSGATAN",202215,5908,1502,0.254231550440081,841,0.142349356804333,8,0.001354096140826,7,0.00118483412322275,156,0.026404874746107,1,0.00016926201760325,36,0.00609343263371699,61,0.0103249830737982,47,0.00795531482735274,15,0.00253893026404875,136,0.023019634394042,194,0.0328368314150305,1502,0.254231550440081,124,0.020988490182803,0,0,841,0.142349356804333,8,0.001354096140826,7,0.00118483412322275,0,0,83,0.0140487474610697,73,0.0123561272850372,1,0.00016926201760325,0,0,36,0.00609343263371699,0,0,0,0,61,0.0103249830737982,2,0.0003385240352065,45,0.00761679079214624,7,0.00118483412322275,8,0.001354096140826,127,0.0214962762356127,9,0.00152335815842925,178,0.0301286391333785,16,0.002708192281652,1502,0.254231550440081,841,0.142349356804333,493,0.0834461746784022,44,0.00744752877454299
