"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_OBS_snabbnudlar_Trianglen","kampanj_convrate_OBS_snabbnudlar_Trianglen","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_Veckans_klipp","skylttyp_convrate_Veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris"
"TROLLHÄTTAN HJORTMOSSEN",202231,8863,1006.735,0.113588514047162,442.513,0.0499281281733047,62.56,0.00705855805032156,0,0,0,0,0,0,3.662,0.000413178382037685,7,0.000789800293354395,70,0.00789800293354395,34,0.00383617285343563,292,0.0329459550942119,95,0.0107187182669525,947.837,0.106943134378878,168.513,0.019013088119147,62.56,0.00705855805032156,3.953,0.00044601150851856,376,0.0424235586144646,0,0,0,0,0,0,0,0,0,0,3.662,0.000413178382037685,0,0,3.662,0.000413178382037685,0,0,7,0.000789800293354395,61,0.00688254541351687,9,0.00101545752002708,34,0.00383617285343563,290,0.0327202978675392,2,0.000225657226672684,82,0.00925194629358005,13,0.00146677197337245,944.175,0.106529955996841,376,0.0424235586144646,335,0.0377975854676746,3.662,0.000413178382037685,61,0.00688254541351687
"TROLLHÄTTAN HJORTMOSSEN",202230,8678,907.537,0.104579050472459,433.665,0.0499729200276561,52.756,0.00607928094030883,0,0,0,0,0,0,4.116,0.000474302834754552,4,0.000460935699469924,33,0.00380271952062687,29,0.00334178382115695,256,0.0294998847660751,95,0.0109472228624107,858.897,0.0989740723669048,167.665,0.0193206960129062,52.756,0.00607928094030883,15.909,0.00183325651071676,365,0.0420603825766306,0,0,0,0,0,0,0,0,0,0,4.116,0.000474302834754552,0,0,4.116,0.000474302834754552,0,0,4,0.000460935699469924,30,0.00345701774602443,3,0.000345701774602443,29,0.00334178382115695,254,0.0292694169163402,2,0.000230467849734962,77,0.00887301221479604,18,0.00207421064761466,854.781,0.0984997695321503,365,0.0420603825766306,288,0.0331873703618345,4.116,0.000474302834754552,30,0.00345701774602443
"TROLLHÄTTAN HJORTMOSSEN",202229,8925,1290.42,0.14458487394958,352.065,0.0394470588235294,66.065,0.00740224089635854,0,0,0,0,0,0,2.29,0.000256582633053221,5,0.000560224089635854,38,0.00425770308123249,530,0.0593837535014006,224,0.0250980392156863,73,0.00817927170868347,1226.645,0.137439215686275,144.065,0.0161417366946779,66.065,0.00740224089635854,0,0,286,0.0320448179271709,0,0,0,0,0,0,0,0,0,0,2.29,0.000256582633053221,0,0,2.29,0.000256582633053221,0,0,5,0.000560224089635854,33,0.00369747899159664,5,0.000560224089635854,530,0.0593837535014006,223,0.0249859943977591,1,0.000112044817927171,63,0.00705882352941176,10,0.00112044817927171,1224.355,0.137182633053221,286,0.0320448179271709,759,0.0850420168067227,2.29,0.000256582633053221,33,0.00369747899159664
"TROLLHÄTTAN HJORTMOSSEN",202228,9038,768.422,0.085021243637973,324.632,0.0359185660544368,55.632,0.00615534410267758,0,0,0,0,0,0,4.158,0.000460057534852844,5,0.000553219738880283,80,0.00885151582208453,26,0.00287674264217747,190,0.0210223500774508,83,0.0091834476654127,716.948,0.0793259570701483,143.632,0.0158920115069706,55.632,0.00615534410267758,0,0,269,0.0297632219517592,0,0,0,0,0,0,0,0,0,0,4.158,0.000460057534852844,0,0,4.158,0.000460057534852844,0,0,5,0.000553219738880283,65,0.00719185660544368,15,0.00165965921664085,26,0.00287674264217747,184,0.0203584863907944,6,0.00066386368665634,73,0.00807700818765214,10,0.00110643947776057,712.79,0.0788658995352954,269,0.0297632219517592,231,0.0255587519362691,4.158,0.000460057534852844,65,0.00719185660544368
"TROLLHÄTTAN HJORTMOSSEN",202227,9034,1022.336,0.113165375249059,458.415,0.0507433030772637,71.415,0.00790513615231348,0,0,0,0,0,0,2.506,0.000277396502103166,3,0.000332078813371707,64,0.00708434801859641,27,0.00298870932034536,269,0.0297764002656631,127,0.0140580030994023,953.427,0.105537635598849,201.415,0.0222952180650874,71.415,0.00790513615231348,0,0,387,0.0428381669249502,0,0,0,0,0,0,0,0,0,0,2.506,0.000277396502103166,0,0,2.506,0.000277396502103166,0,0,3,0.000332078813371707,61,0.00675226920522471,3,0.000332078813371707,27,0.00298870932034536,263,0.0291122426389196,6,0.000664157626743414,97,0.0107372149656852,30,0.00332078813371707,950.921,0.105260239096746,387,0.0428381669249502,299,0.0330971883993801,2.506,0.000277396502103166,61,0.00675226920522471
"TROLLHÄTTAN HJORTMOSSEN",202226,9608,886.868,0.0923051623646961,310.549,0.0323219192339717,58.549,0.00609377601998335,0,0,86,0.00895087427144047,0,0,2.77,0.000288301415487094,5,0.000520399666944213,43,0.00447543713572023,12,0.00124895920066611,231,0.0240424646128226,138,0.0143630308076603,831.089,0.0864996877601998,201.549,0.0209772064945878,58.549,0.00609377601998335,0,0,252,0.0262281432139883,0,0,0,0,0,0,86,0.00895087427144047,0,0,2.77,0.000288301415487094,0,0,2.77,0.000288301415487094,0,0,5,0.000520399666944213,42,0.00437135720233139,1,0.000104079933388843,12,0.00124895920066611,225,0.0234179850124896,6,0.000624479600333056,79,0.00822231473771857,59,0.00614071606994172,828.319,0.0862113863447127,252,0.0262281432139883,330,0.0343463780183181,2.77,0.000288301415487094,42,0.00437135720233139
"TROLLHÄTTAN HJORTMOSSEN",202225,9226,1241.426,0.134557337957945,367.3,0.0398114025579883,55.3,0.00599393019726859,0,0,199,0.0215694775634078,0,0,3.826,0.000414697593756774,4,0.000433557337957945,48,0.00520268805549534,18,0.00195100802081075,394,0.0427053977888576,152,0.0164751788424019,1189.952,0.128978105354433,211.3,0.0229026663776284,55.3,0.00599393019726859,0,0,312,0.0338174723607197,0,0,0,0,0,0,199,0.0215694775634078,0,0,3.826,0.000414697593756774,0,0,3.826,0.000414697593756774,0,0,4,0.000433557337957945,37,0.00401040537611099,11,0.00119228267938435,18,0.00195100802081075,386,0.0418382831129417,8,0.00086711467591589,72,0.00780403208324301,80,0.0086711467591589,1186.126,0.128563407760676,312,0.0338174723607197,622,0.0674181660524604,3.826,0.000414697593756774,37,0.00401040537611099
"TROLLHÄTTAN HJORTMOSSEN",202224,10362,1087.74,0.104973943254198,355.508,0.0343088206909863,62.508,0.00603242617255356,0,0,0,0,0,0,5.724,0.000552403011001737,5,0.000482532329666088,73,0.00704497201312488,21,0.00202663578459757,412,0.0397606639644856,153,0.0147654892877823,1030.956,0.0994939200926462,220.508,0.0212804477900019,62.508,0.00603242617255356,0,0,293,0.0282763945184327,0,0,0,0,0,0,0,0,0,0,5.724,0.000552403011001737,0,0,5.724,0.000552403011001737,0,0,5,0.000482532329666088,61,0.00588689442192627,12,0.00115807759119861,21,0.00202663578459757,403,0.0388921057710867,9,0.000868558193398958,77,0.00743099787685775,76,0.00733449141092453,1025.232,0.0989415170816445,293,0.0282763945184327,445,0.0429453773402818,5.724,0.000552403011001737,61,0.00588689442192627
"TROLLHÄTTAN HJORTMOSSEN",202223,10597,1210.278,0.114209493252807,461.418,0.0435423232990469,67.418,0.00636198924223837,0,0,0,0,0,0,1.442,0.000136076247994715,4,0.000377465320373691,73,0.00688874209681985,20,0.00188732660186845,370,0.0349155421345664,213,0.020100028309899,1144.302,0.107983580258564,284.418,0.0268394828725111,67.418,0.00636198924223837,0,0,394,0.0371803340568085,0,0,0,0,0,0,0,0,0,0,1.442,0.000136076247994715,0,0,1.442,0.000136076247994715,0,0,4,0.000377465320373691,62,0.00585071246579221,11,0.00103802963102765,20,0.00188732660186845,362,0.034160611493819,8,0.000754930640747381,85,0.00802113805794093,128,0.0120788902519581,1142.86,0.107847504010569,394,0.0371803340568085,401,0.0378408983674625,1.442,0.000136076247994715,62,0.00585071246579221
"TROLLHÄTTAN HJORTMOSSEN",202222,11288,1317.71,0.116735471296953,517.978,0.0458874911410347,63.978,0.0056677888022679,0,0,0,0,0,0,0.754,6.67965981573352e-05,2,0.000177179305457123,51,0.00451807228915663,35,0.00310063784549965,375,0.0332211197732105,272,0.0240963855421687,1254.486,0.111134479092842,337.978,0.0299413536498937,63.978,0.0056677888022679,0,0,454,0.0402197023387668,0,0,0,0,0,0,0,0,0,0,0.754,6.67965981573352e-05,0,0,0.754,6.67965981573352e-05,0,0,2,0.000177179305457123,45,0.00398653437278526,6,0.000531537916371368,35,0.00310063784549965,369,0.0326895818568391,6,0.000531537916371368,111,0.00983345145287031,161,0.0142629340892984,1253.732,0.111067682494685,454,0.0402197023387668,416,0.0368532955350815,0.754,6.67965981573352e-05,45,0.00398653437278526
