"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Kampanj_1_Deli","kampanj_convrate_Kampanj_1_Deli","kampanj_count_Kampanj_2_Deli","kampanj_convrate_Kampanj_2_Deli","kampanj_count_Kampanj_3_Deli","kampanj_convrate_Kampanj_3_Deli","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_2_Gavel_1","kampanj_convrate_Vara_2_Gavel_1","kampanj_count_Vara_1_Gavel_2","kampanj_convrate_Vara_1_Gavel_2","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie"
"ÖRNSKÖLDSVIK DOMSJÖ",202218,6471,375.663,0.0580533147890589,21,0.00324524802967084,15.335,0.00236980373976202,53,0.00819038788440736,91,0.014062741461907,0,0,53.328,0.00824107556791841,3,0.000463606861381548,70,0.0108174934322361,52,0.00803585226394684,3,0.000463606861381548,14,0.00216349868644723,375.663,0.0580533147890589,156.663,0.0242100139082058,0,0,0,0,21,0.00324524802967084,15.335,0.00236980373976202,35,0.00540874671611806,18,0.00278164116828929,0,0,91,0.014062741461907,0,0,0,0,1.328,0.000205223303971565,52,0.00803585226394684,3,0.000463606861381548,38,0.00587235357749961,32,0.00494513985473652,41,0.00633596043888116,11,0.00169989182506568,3,0.000463606861381548,14,0.00216349868644723,375.663,0.0580533147890589,52,0.00803585226394684,21,0.00324524802967084,135,0.0208623087621697,11,0.00169989182506568
"ÖRNSKÖLDSVIK DOMSJÖ",202217,6200,399.732,0.0644729032258065,22,0.00354838709677419,22.26,0.00359032258064516,50,0.00806451612903226,117,0.0188709677419355,0,0,0.472,7.61290322580645e-05,2,0.00032258064516129,125,0.0201612903225806,36,0.00580645161290323,8,0.00129032258064516,17,0.00274193548387097,399.732,0.0644729032258065,167.732,0.0270535483870968,0,0,0,0,22,0.00354838709677419,22.26,0.00359032258064516,37,0.00596774193548387,13,0.00209677419354839,0,0,117,0.0188709677419355,0,0,0,0,0.472,7.61290322580645e-05,0,0,2,0.00032258064516129,32,0.00516129032258065,93,0.015,27,0.00435483870967742,9,0.00145161290322581,8,0.00129032258064516,17,0.00274193548387097,399.732,0.0644729032258064,49,0.00790322580645161,22,0.00354838709677419,152,0.0245161290322581,9,0.00145161290322581
"ÖRNSKÖLDSVIK DOMSJÖ",202216,6361,344.487,0.0541561075302625,12,0.00188649583398837,18.335,0.00288240842634806,68,0.0106901430592674,87,0.0136770947964157,0,0,1.152,0.000181103600062883,7,0.00110045590315988,67,0.0105329350731017,56,0.00880364722527904,9,0.00141487187549128,19,0.00298695173714825,344.487,0.0541561075302625,125.487,0.0197275585599748,0,0,0,0,12,0.00188649583398837,18.335,0.00288240842634806,52,0.00817481528061626,16,0.00251532777865116,1,0.000157207986165697,86,0.01351988681025,0,0,0,0,1.152,0.000181103600062883,0,0,7,0.00110045590315988,36,0.0056594875019651,31,0.00487344757113661,51,0.00801760729445056,5,0.000786039930828486,9,0.00141487187549128,19,0.00298695173714825,344.487,0.0541561075302625,56,0.00880364722527904,12,0.00188649583398837,146,0.0229523659801918,5,0.000786039930828486
"ÖRNSKÖLDSVIK DOMSJÖ",202215,5976,250.84,0.0419745649263722,14,0.00234270414993307,10.38,0.00173694779116466,52,0.00870147255689424,79,0.0132195448460509,0,0,1.46,0.000244310575635877,3,0.000502008032128514,57,0.00953815261044177,26,0.00435073627844712,0,0,8,0.00133868808567604,250.84,0.0419745649263722,87.84,0.0146987951807229,0,0,0,0,14,0.00234270414993307,10.38,0.00173694779116466,45,0.00753012048192771,7,0.00117135207496653,6,0.00100401606425703,73,0.0122155287817938,0,0,0.158,2.64390896921017e-05,1.302,0.000217871485943775,0,0,3,0.000502008032128514,36,0.00602409638554217,21,0.0035140562248996,22,0.0036813922356091,4,0.000669344042838019,0,0,8,0.00133868808567604,250.84,0.0419745649263722,50,0.00836680053547523,14,0.00234270414993307,95,0.0158969210174029,4,0.000669344042838019
"ÖRNSKÖLDSVIK DOMSJÖ",202214,5778,774.76,0.134087919695396,336,0.0581516095534787,11.98,0.00207338179300796,140,0.0242298373139495,52,0.00899965385946694,0,0,1.78,0.000308065074420215,107,0.0185185185185185,56,0.00969193492557979,46,0.00796123226029768,11,0.00190377293181032,13,0.00224991346486674,774.76,0.134087919695396,283.76,0.049110418830045,0,0,0,0,336,0.0581516095534787,11.98,0.00207338179300796,126,0.0218068535825545,14,0.00242298373139495,0,0,52,0.00899965385946694,0,0,0.066,1.14226375908619e-05,1.714,0.000296642436829353,0,0,107,0.0185185185185185,33,0.00571131879543095,23,0.00398061613014884,41,0.00709588092765663,5,0.000865351332641052,11,0.00190377293181032,13,0.00224991346486674,774.76,0.134087919695396,46,0.00796123226029768,336,0.0581516095534787,104,0.0179993077189339,5,0.000865351332641052
"ÖRNSKÖLDSVIK DOMSJÖ",202213,5938,379.408,0.0638949141124958,36,0.00606264735601213,0,0,59,0.00993600538901987,46,0.00774671606601549,5,0.000842034355001684,3.408,0.000573930616369148,10,0.00168406871000337,70,0.0117884809700236,52,0.00875715729201751,11,0.0018524755810037,87,0.0146513977770293,379.408,0.0638949141124958,106.408,0.0179198383294038,0,0,0,0,36,0.00606264735601213,0,0,51,0.00858875042101718,8,0.00134725496800269,0,0,46,0.00774671606601549,5,0.000842034355001684,0.956,0.000160996968676322,2.452,0.000412933647692826,0,0,10,0.00168406871000337,41,0.00690468171101381,29,0.00488379925900977,41,0.00690468171101381,11,0.0018524755810037,11,0.0018524755810037,87,0.0146513977770293,379.408,0.0638949141124958,128,0.0215560794880431,36,0.00606264735601213,98,0.016503873358033,11,0.0018524755810037
"ÖRNSKÖLDSVIK DOMSJÖ",202212,6046,278.114,0.0459996692027787,11,0.00181938471716838,0,0,70,0.0115779027456169,71,0.0117433013562686,3,0.000496195831955012,7.114,0.00117664571617598,8,0.00132318888521336,52,0.00860072775388687,37,0.00611974859411181,3,0.000496195831955012,16,0.00264637777042673,278.114,0.0459996692027787,116.114,0.0192050942772081,0,0,0,0,11,0.00181938471716838,0,0,54,0.00893152497519021,16,0.00264637777042673,0,0,71,0.0117433013562686,3,0.000496195831955012,0,0,2.114,0.000349652662917631,5,0.000826993053258353,8,0.00132318888521336,24,0.00396956665564009,28,0.00463116109824677,28,0.00463116109824677,9,0.00148858749586503,3,0.000496195831955012,16,0.00264637777042673,278.114,0.0459996692027787,40,0.00661594442606682,11,0.00181938471716838,102,0.0168706582864704,9,0.00148858749586503
"ÖRNSKÖLDSVIK DOMSJÖ",202211,6029,256.279,0.0425077127218444,14,0.00232210980262067,2,0.000331729971802952,52,0.00862497926687676,47,0.00779565433736938,1,0.000165864985901476,21.279,0.00352944103499751,6,0.000995189915408857,64,0.0106153590976945,21,0.003483164703931,9,0.00149278487311329,19,0.00315143473212805,254.279,0.0421759827500415,95.279,0.0158034499917067,2,0.000331729971802952,0,0,12,0.00199037983081771,0,0,33,0.00547354453474871,19,0.00315143473212805,0,0,47,0.00779565433736938,1,0.000165864985901476,0,0,2.366,0.000392436556642893,18.913,0.00313700447835462,6,0.000995189915408857,49,0.00812738430917233,15,0.00248797478852214,15,0.00248797478852214,6,0.000995189915408857,9,0.00149278487311329,19,0.00315143473212805,254.279,0.0421759827500415,70,0.0116105490131033,12,0.00199037983081771,71,0.0117764139990048,6,0.000995189915408857
"ÖRNSKÖLDSVIK DOMSJÖ",202210,5635,390.806,0.0693533274179237,26,0.00461401952085182,11,0.00195208518189885,53,0.00940550133096717,41,0.00727595385980479,0,0,141.806,0.0251652173913044,2,0.000354924578527063,51,0.00905057675244011,31,0.00550133096716948,5,0.000887311446317658,29,0.00514640638864241,379.806,0.0674012422360248,215.806,0.0382974267968057,11,0.00195208518189885,0,0,15,0.00266193433895297,0,0,42,0.00745341614906832,11,0.00195208518189885,0,0,41,0.00727595385980479,0,0,0.216,3.83318544809228e-05,1.59,0.000282165039929015,140,0.0248447204968944,2,0.000354924578527063,32,0.00567879325643301,19,0.0033717834960071,29,0.00514640638864241,2,0.000354924578527063,5,0.000887311446317658,29,0.00514640638864241,379.806,0.0674012422360249,72,0.0127772848269743,15,0.00266193433895297,75,0.0133096716947649,2,0.000354924578527063
"ÖRNSKÖLDSVIK DOMSJÖ",202209,6017,721.014,0.119829483131128,213,0.0353997008475985,192,0.0319095894964268,52,0.00864218048861559,54,0.00897457204587004,0,0,2.014,0.000334718298155227,7,0.00116337045039056,117,0.0194449060993851,40,0.00664783114508891,21,0.00349011135117168,23,0.00382250290842613,529.014,0.0879198936347017,148.014,0.0245993019777298,192,0.0319095894964268,0,0,21,0.00349011135117168,0,0,43,0.00714641848097058,9,0.00149576200764501,0,0,54,0.00897457204587004,0,0,0.212,3.52335050689712e-05,1.802,0.000299484793086256,0,0,7,0.00116337045039056,30,0.00498587335881669,87,0.0144590327405684,34,0.00565065647332558,6,0.000997174671763337,21,0.00349011135117168,23,0.00382250290842613,529.014,0.0879198936347017,245,0.0407179657636696,21,0.00349011135117168,109,0.0181153398703673,6,0.000997174671763337
