"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Vara_1_Deli","kampanj_convrate_Vara_1_Deli","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_OBS_snabbnudlar_Triangeln","kampanj_convrate_OBS_snabbnudlar_Triangeln","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"VENDELSÖ SÅGEN",202224,7999,1123.24,0.140422552819102,22.62,0.00282785348168521,7.62,0.000952619077384673,77,0.00962620327540943,399,0.0498812351543943,12,0.00150018752344043,0,0,96,0.0120015001875234,76,0.00950118764845606,3,0.000375046880860108,155,0.0193774221777722,275,0.0343792974121765,1115.62,0.139469933741718,268.62,0.033581697712214,7.62,0.000952619077384673,15,0.00187523440430054,0,0,77,0.00962620327540943,0,0,212,0.0265033129141143,187,0.02337792224028,12,0.00150018752344043,0,0,0,0,0,0,0,0,0,0,96,0.0120015001875234,8,0.00100012501562695,68,0.0085010626328291,3,0.000375046880860108,150,0.0187523440430054,5,0.000625078134766846,222,0.027753469183648,53,0.00662582822852857,1115.62,0.139469933741718,15,0.00187523440430054,832,0.104013001625203,0,0
"VENDELSÖ SÅGEN",202223,8419,941.092,0.111781921843449,51.046,0.00606319040266065,22.046,0.00261860078394109,23,0.00273191590450172,379,0.0450172229480936,0,0,0,0,64,0.00760185295165697,63,0.00748307399928733,7,0.000831452666587481,87,0.0103337688561587,245,0.0291008433305618,920.046,0.109282100011878,172.046,0.0204354436393871,21.046,0.00249982183157145,30,0.0035633685710892,1,0.00011877895236964,23,0.00273191590450172,0,0,266,0.0315952013303243,113,0.0134220216177693,0,0,0,0,0,0,0,0,0,0,0,0,64,0.00760185295165697,10,0.0011877895236964,53,0.00629528447559093,7,0.000831452666587481,76,0.00902720038009265,11,0.00130656847606604,189,0.022449221997862,56,0.00665162133269985,920.046,0.109282100011878,30,0.0035633685710892,718,0.0852832878014016,0,0
"VENDELSÖ SÅGEN",202222,8040,968.704,0.120485572139303,53.852,0.00669800995024876,38.852,0.00483233830845771,24,0.00298507462686567,319,0.0396766169154229,0,0,0,0,41,0.00509950248756219,74,0.00920398009950249,2,0.000248756218905473,136,0.0169154228855721,280,0.0348258706467662,958.852,0.119260199004975,177.852,0.0221208955223881,9.852,0.00122537313432836,44,0.0054726368159204,29,0.00360696517412935,24,0.00298507462686567,0,0,125,0.015547263681592,194,0.0241293532338308,0,0,0,0,0,0,0,0,0,0,0,0,41,0.00509950248756219,10,0.00124378109452736,64,0.00796019900497512,2,0.000248756218905473,135,0.0167910447761194,1,0.000124378109452736,211,0.0262437810945274,69,0.00858208955223881,958.852,0.119260199004975,44,0.0054726368159204,737,0.0916666666666667,0,0
"VENDELSÖ SÅGEN",202221,7987,1118.524,0.140043069988732,57.762,0.00723200200325529,59.762,0.00748240891448604,18,0.00225366220107675,457,0.0572179792162264,0,0,0,0,47,0.00588456241392262,78,0.00976586953799925,8,0.001001627644923,61,0.00763741079253787,332,0.0415675472643045,1108.762,0.138820833855014,202.762,0.0253865030674847,9.762,0.00122223613371729,48,0.006009765869538,50,0.00626017278076875,18,0.00225366220107675,0,0,239,0.0299236258920746,218,0.0272943533241517,0,0,0,0,0,0,0,0,0,0,0,0,47,0.00588456241392262,11,0.00137723801176912,67,0.00838863152623012,8,0.001001627644923,57,0.00713659697007637,4,0.0005008138224615,264,0.033053712282459,68,0.0085138349818455,1108.762,0.138820833855014,48,0.006009765869538,858,0.107424564917992,0,0
"VÄNERSBORG TORPA",202238,15681,5039.051,0.321347554365155,1948.821,0.124279127606658,933.821,0.0595511128116829,153,0.00975703080160704,358,0.0228301766468975,0,0,80.409,0.00512779797206811,308,0.0196416044895096,467,0.0297812639500032,42,0.00267840061220585,218,0.0139021746062113,530,0.033798864868312,4229.23,0.269704100503794,1916.666,0.122228556852242,809.821,0.0516434538613609,1139,0.0726356737452968,124,0.00790765895032205,112,0.00714240163254894,41,0.0026146291690581,36,0.0022957719533193,322,0.0205344046935782,0,0,54.845,0.00349754479943881,0,0,2.47,0.000157515464574963,0,0,23.094,0.00147273770805433,308,0.0196416044895096,37,0.00235954339646706,430,0.0274217205535361,42,0.00267840061220585,212,0.0135195459473248,6,0.000382628658886551,408,0.0260187488042854,122,0.00778011606402653,4229.23,0.269704100503794,1139,0.0726356737452968,1148,0.0732096167336267,25.564,0.0016302531726293
"VÄNERSBORG TORPA",202233,15975,3305.421,0.206912112676056,58,0.00363067292644757,41,0.00256651017214398,36,0.00225352112676056,1625,0.101721439749609,0,0,87.421,0.00547236306729265,167,0.0104538341158059,315,0.0197183098591549,67,0.00419405320813772,442,0.0276682316118936,467,0.0292331768388106,3305.421,0.206912112676056,616.311,0.0385797183098592,0,0,58,0.00363067292644757,41,0.00256651017214398,28,0.0017527386541471,8,0.000500782472613459,6,0.000375586854460094,1619,0.101345852895149,0,0,57.311,0.00358754303599374,0,0,3.392,0.000212331768388106,0,0,26.718,0.0016724882629108,167,0.0104538341158059,10,0.000625978090766823,305,0.0190923317683881,67,0.00419405320813772,435,0.0272300469483568,7,0.000438184663536776,406,0.025414710485133,61,0.00381846635367762,3305.421,0.206912112676056,58,0.00363067292644757,2601,0.162816901408451,30.11,0.0018848200312989
"VÄNERSBORG TORPA",202232,15380,2776.414,0.180521066319896,58,0.00377113133940182,58,0.00377113133940182,28,0.00182054616384915,1124,0.0730819245773732,0,0,86.414,0.0056185955786736,276,0.0179453836150845,295,0.0191807542262679,48,0.00312093628088427,277,0.0180104031209363,526,0.0342002600780234,2776.414,0.180521066319896,714.294,0.0464430429128739,0,0,58,0.00377113133940182,58,0.00377113133940182,22,0.00143042912873862,6,0.000390117035110533,11,0.000715214564369311,1113,0.0723667100130039,0,0,57.294,0.00372522756827048,0,0,3.402,0.000221196358907672,0,0,25.718,0.00167217165149545,276,0.0179453836150845,11,0.000715214564369311,284,0.0184655396618986,48,0.00312093628088427,262,0.0170351105331599,15,0.000975292587776333,448,0.0291287386215865,78,0.00507152145643693,2776.414,0.180521066319896,58,0.00377113133940182,1975,0.128413524057217,29.12,0.00189336801040312
"VÄNERSBORG TORPA",202231,13715,2257.577,0.164606416332483,69,0.0050309879693766,114,0.00831206707983959,32,0.0023332118118848,289,0.0210718191760846,0,0,94.577,0.00689588042289464,185,0.013488880787459,327,0.0238425082026978,51,0.0037185563251914,314,0.0228946409041196,782,0.0570178636529347,2257.577,0.164606416332483,722.249,0.052661246810062,0,0,69,0.0050309879693766,114,0.00831206707983959,27,0.0019686474662778,5,0.000364564345607,11,0.000802041560335399,278,0.0202697776157492,0,0,64.249,0.00468457892818082,0,0,3.542,0.000258257382427999,0,0,26.786,0.00195304411228582,185,0.013488880787459,10,0.000729128691213999,317,0.0231133795114838,51,0.0037185563251914,306,0.0223113379511484,8,0.000583302952971199,713,0.0519868756835581,69,0.0050309879693766,2257.577,0.164606416332483,69,0.0050309879693766,1436,0.10470288005833,30.328,0.00221130149471382
"VÄNERSBORG TORPA",202230,13824,1694.06,0.122544849537037,75,0.00542534722222222,46,0.0033275462962963,37,0.00267650462962963,303,0.0219184027777778,0,0,103.06,0.00745515046296296,168,0.0121527777777778,270,0.01953125,44,0.00318287037037037,178,0.0128761574074074,470,0.0339988425925926,1694.06,0.122544849537037,594.736,0.0430219907407407,0,0,75,0.00542534722222222,46,0.0033275462962963,30,0.00217013888888889,7,0.000506365740740741,3,0.000217013888888889,300,0.0217013888888889,0,0,73.736,0.00533391203703704,0,0,3.786,0.000273871527777778,0,0,25.538,0.00184736689814815,168,0.0121527777777778,15,0.00108506944444444,255,0.0184461805555556,44,0.00318287037037037,163,0.011791087962963,15,0.00108506944444444,410,0.0296585648148148,60,0.00434027777777778,1694.06,0.122544849537037,75,0.00542534722222222,995,0.0719762731481482,29.324,0.00212123842592593
"VÄNERSBORG TORPA",202229,14252,2695.852,0.189156048273926,67,0.00470109458321639,41,0.00287678922256525,30,0.00210496772382823,329,0.0230844793713163,0,0,90.852,0.00637468425484143,140,0.00982318271119843,238,0.0166994106090373,749,0.0525540275049116,263,0.0184535503788942,748,0.0524838619141173,2695.852,0.189156048273926,512.096,0.0359315183833848,0,0,67,0.00470109458321639,41,0.00287678922256525,21,0.00147347740667976,9,0.00063149031714847,13,0.000912152680325568,316,0.0221723266909907,0,0,63.096,0.00442716811675554,0,0,3.74,0.000262419309570587,0,0,24.016,0.0016850968285153,140,0.00982318271119843,11,0.000771821498737019,227,0.0159275891103003,749,0.0525540275049116,251,0.0176115632893629,12,0.000841987089531294,683,0.0479230985124895,65,0.00456076340162784,2695.852,0.189156048273926,67,0.00470109458321639,2089,0.146575919169239,27.756,0.00194751613808588
