"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Ordinariepris_test_(endast_produkt_ej_pris)","kampanj_convrate_Ordinariepris_test_(endast_produkt_ej_pris)","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_Veckans_klipp","skylttyp_convrate_Veckans_klipp","skylttyp_count_Alltid_bra_pris","skylttyp_convrate_Alltid_bra_pris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"VENDELSÖ SÅGEN",202243,7399,3283.243,0.443741451547506,782,0.105689958102446,679,0.0917691579943236,49,0.00662251655629139,344,0.0464927692931477,5,0.000675766995539938,0,0,90,0.0121638059197189,451,0.0609541829977024,33,0.00446006217056359,83,0.011217732125963,767.243,0.10369549939181,2963.243,0.40049236383295,912.243,0.123292742262468,320,0.043249087714556,103,0.0139208001081227,359,0.0485200702797675,359,0.0485200702797675,49,0.00662251655629139,344,0.0464927692931477,5,0.000675766995539938,0,0,0,0,0,0,0,0,382,0.0516285984592513,68,0.00919043113934315,91,0.0122989593188269,37,0.00500067576699554,79,0.010677118529531,293,0.0395999459386404,474.243,0.0640955534531693,2604.243,0.351972293553183,805,0.10879848628193,359,0.0485200702797675,0,0,460,0.0621705635896743,68,0.00919043113934315
"VENDELSÖ SÅGEN",202233,8306,1162.268,0.139931134119913,53,0.00638092944859138,52,0.00626053455333494,0,0,287,0.0345533349385986,0,0,0,0,86,0.0103539609920539,254,0.030580303395136,6,0.000722369371538647,62,0.00746448350589935,362.268,0.0436152179147604,1127.268,0.135717312785938,455.268,0.0548119431736094,35,0.00421382133397544,1,0.000120394895256441,17,0.0020467132193595,17,0.0020467132193595,0,0,287,0.0345533349385986,0,0,0,0,0,0,0,0,0,0,167,0.0201059475078257,80,0.00963159162051529,93,0.011196725258849,16,0.00192631832410306,52,0.00626053455333494,233,0.0280520105947508,129.268,0.0155632073200096,1110.268,0.133670599566578,203,0.0244401637370575,17,0.0020467132193595,0,0,355,0.0427401878160366,80,0.00963159162051529
"VENDELSÖ SÅGEN",202232,8011,1345.658,0.167976282611409,160,0.0199725377605792,159,0.0198477093995756,0,0,250,0.031207090250905,6,0.00074897016602172,0,0,81,0.0101110972412932,214,0.0267132692547747,14,0.00174759705405068,109,0.0136062913493946,352.658,0.0440217201348146,1208.658,0.150874797153913,432.658,0.0540079890151042,137,0.0171014854574959,1,0.00012482836100362,22,0.00274622394207964,22,0.00274622394207964,0,0,250,0.031207090250905,6,0.00074897016602172,0,0,0,0,0,0,0,0,149,0.0185994257895394,72,0.00898764199226064,74,0.00923729871426788,19,0.00237173885906878,104,0.0129821495443765,237,0.0295843215578579,115.658,0.0144373985769567,1186.658,0.148128573211834,287,0.0358257396080389,22,0.00274622394207964,0,0,373,0.0465609786543503,72,0.00898764199226064
"VENDELSÖ SÅGEN",202231,7099,1119.761,0.157735033103254,17,0.00239470347936329,10,0.00140864910550782,0,0,375,0.0528243414565432,0,0,0,0,81,0.0114100577546133,149,0.0209888716720665,10,0.00140864910550782,72,0.0101422735596563,405.761,0.0571574869699958,1113.761,0.156889843639949,470.761,0.0663137061557966,6,0.000845189463304691,7,0.000986054373855473,4,0.000563459642203127,4,0.000563459642203127,0,0,375,0.0528243414565432,0,0,0,0,0,0,0,0,0,0,98,0.0138047612339766,67,0.00943794900690238,65,0.00915621918580082,21,0.00295816312156642,61,0.00859275954359769,287,0.0404282293280744,118.761,0.0167292576419214,1109.761,0.156326383997746,111,0.0156360050711368,4,0.000563459642203127,0,0,457,0.0643752641217073,67,0.00943794900690238
"VENDELSÖ SÅGEN",202230,6542,1135.672,0.173597065117701,33,0.00504432895139101,28,0.00428003668602874,0,0,449,0.0686334454295323,1,0.000152858453072455,0,0,64,0.00978294099663711,133,0.0203301742586365,9,0.00137572607765209,95,0.0145215530418832,323.672,0.0494760012228676,1128.672,0.172527055946194,380.672,0.0581889330479976,7,0.00107000917150718,5,0.000764292265362275,21,0.00321002751452155,21,0.00321002751452155,0,0,449,0.0686334454295323,1,0.000152858453072455,0,0,0,0,0,0,0,0,83,0.0126872516050138,58,0.00886579027820238,56,0.00856007337205747,21,0.00321002751452155,83,0.0126872516050138,206,0.0314888413329257,117.672,0.0179871598899419,1107.672,0.169317028431672,95,0.0145215530418832,21,0.00321002751452155,0,0,553,0.0845307245490676,58,0.00886579027820238
"VENDELSÖ SÅGEN",202229,6718,1239.992,0.184577552843108,38,0.00565644537064603,33,0.00491217624292944,0,0,488,0.0726406668651384,3,0.000446561476629949,0,0,87,0.0129502828222685,163,0.0242631735635606,8,0.00119083060434653,80,0.0119083060434653,339.992,0.0506091098541233,1230.992,0.183237868413218,408.992,0.0608800238166121,9,0.00133968442988985,5,0.000744269127716582,24,0.00357249181303959,24,0.00357249181303959,0,0,488,0.0726406668651384,3,0.000446561476629949,0,0,0,0,0,0,0,0,103,0.0153319440309616,81,0.0120571598690086,66,0.00982435248585889,29,0.00431676094075618,59,0.00878237570705567,233,0.0346829413515927,106.992,0.0159261685025305,1206.992,0.179665376600179,117,0.017415897588568,24,0.00357249181303959,0,0,576,0.0857398035129503,81,0.0120571598690086
"VENDELSÖ SÅGEN",202228,6703,1054.915,0.157379531553036,46,0.00686259883634194,42,0.00626585111144264,0,0,288,0.0429658361927495,2,0.000298373862449649,0,0,68,0.0101447113232881,151,0.0225272266149485,18,0.00268536476204684,83,0.0123825152916605,356.915,0.0532470535581083,1043.915,0.155738475309563,420.915,0.0627950171564971,11,0.00164105624347307,4,0.000596747724899299,31,0.00462479486796957,31,0.00462479486796957,0,0,288,0.0429658361927495,2,0.000298373862449649,0,0,0,0,0,0,0,0,100,0.0149186931224825,57,0.00850365507981501,62,0.00924958973593913,16,0.0023869908995972,85,0.0126808891541101,216,0.0322243771445621,140.915,0.0210226764135462,1012.915,0.151113680441593,115,0.0171564970908548,31,0.00462479486796957,0,0,389,0.0580337162464568,57,0.00850365507981501
"VENDELSÖ SÅGEN",202227,6937,1100.941,0.158705636442266,159,0.0229205708519533,158,0.0227764163182932,0,0,137,0.0197491711114315,0,0,0,0,68,0.00980250828888569,144,0.020758252847052,30,0.00432463600980251,52,0.00749603575032435,352.941,0.0508780452645236,1063.941,0.153371918696843,419.941,0.0605363990197492,37,0.00533371774542309,1,0.000144154533660084,121,0.0174426985728701,121,0.0174426985728701,0,0,137,0.0197491711114315,0,0,0,0,0,0,0,0,0,0,87,0.0125414444284273,58,0.00836096295228485,67,0.0096583537552256,38,0.00547787227908318,44,0.00634279948104368,220,0.0317139974052184,132.941,0.0191640478593052,942.941,0.135929220123973,125,0.0180193167075105,121,0.0174426985728701,0,0,219,0.0315698428715583,58,0.00836096295228485
"VENDELSÖ SÅGEN",202226,7690,1257.484,0.163521976592978,191,0.0248374512353706,185,0.0240572171651495,0,0,214,0.0278283485045514,0,0,0,0,84,0.0109232769830949,156,0.0202860858257477,6,0.000780234070221066,63,0.0081924577373212,358.484,0.0466169050715215,1219.484,0.158580494148244,426.484,0.0554595578673602,38,0.00494148244473342,6,0.000780234070221066,147,0.0191157347204161,147,0.0191157347204161,0,0,214,0.0278283485045514,0,0,0,0,0,0,0,0,0,0,108,0.0140442132639792,64,0.00832249674902471,68,0.00884265279583875,20,0.00260078023407022,49,0.00637191157347204,230,0.0299089726918075,128.484,0.0167079323797139,1072.484,0.139464759427828,152,0.0197659297789337,147,0.0191157347204161,0,0,283,0.0368010403120936,64,0.00832249674902471
"VENDELSÖ SÅGEN",202225,7616,1009.013,0.132485950630252,45,0.00590861344537815,37,0.00485819327731092,0,0,124,0.016281512605042,0,0,0,0,95,0.0124737394957983,200,0.0262605042016807,13,0.00170693277310924,75,0.00984768907563025,420.013,0.0551487657563025,994.013,0.130516412815126,488.013,0.0640773371848739,15,0.00196953781512605,8,0.00105042016806723,22,0.00288865546218487,22,0.00288865546218487,0,0,124,0.016281512605042,0,0,0,0,0,0,0,0,0,0,150,0.0196953781512605,77,0.0101102941176471,68,0.00892857142857143,18,0.00236344537815126,70,0.00919117647058824,290,0.038077731092437,130.013,0.0170710346638655,972.013,0.127627757352941,173,0.0227153361344538,22,0.00288865546218487,3,0.00039390756302521,209,0.0274422268907563,77,0.0101102941176471
