"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Kampanj_1_Deli","kampanj_convrate_Kampanj_1_Deli","kampanj_count_Kampanj_2_Deli","kampanj_convrate_Kampanj_2_Deli","kampanj_count_Kampanj_3_Deli","kampanj_convrate_Kampanj_3_Deli","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_1_Gavel_2","kampanj_convrate_Vara_1_Gavel_2","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"LEKSAND C",202220,2022-05-17,1908,162.976,0.0854171907756813,29,0.0151991614255765,33.85,0.0177410901467505,16,0.00838574423480084,45,0.0235849056603774,0,0,0.126,6.60377358490566e-05,1,0.000524109014675052,23,0.0120545073375262,4,0.00209643605870021,3,0.00157232704402516,8,0.00419287211740042,133.976,0.0702180293501048,27.976,0.0146624737945493,29,0.0151991614255765,0,0,0,0,4.85,0.002541928721174,15,0.00786163522012579,1,0.000524109014675052,14,0.00733752620545073,31,0.0162473794549266,0,0,0.126,6.60377358490566e-05,0,0,0,0,1,0.000524109014675052,17,0.00890985324947589,6,0.00314465408805031,4,0.00209643605870021,3,0.00157232704402516,8,0.00419287211740042,133.976,0.0702180293501048,68,0.0356394129979036,0,0,38,0.019916142557652
"LEKSAND C",202220,2022-05-16,1850,172.78,0.0933945945945946,39,0.0210810810810811,44.78,0.0242054054054054,16,0.00864864864864865,26,0.0140540540540541,0,0,0,0,0,0,39,0.0210810810810811,1,0.000540540540540541,1,0.000540540540540541,6,0.00324324324324324,133.78,0.0723135135135135,46.78,0.0252864864864865,39,0.0210810810810811,0,0,0,0,5.78,0.00312432432432432,14,0.00756756756756757,2,0.00108108108108108,12,0.00648648648648649,14,0.00756756756756757,0,0,0,0,0,0,0,0,0,0,14,0.00756756756756757,25,0.0135135135135135,1,0.000540540540540541,1,0.000540540540540541,6,0.00324324324324324,133.78,0.0723135135135135,71,0.0383783783783784,0,0,16,0.00864864864864865
"LEKSAND C",202219,2022-05-15,1521,139.826,0.0919303090072321,10,0.00657462195923734,41.826,0.0274990138067061,12,0.00788954635108481,32,0.0210387902695595,0,0,0,0,2,0.00131492439184747,33,0.0216962524654832,4,0.00262984878369494,0,0,5,0.00328731097961867,129.826,0.0853556870479947,51.826,0.0340736357659435,10,0.00657462195923734,0,0,0,0,31.826,0.0209243918474688,7,0.00460223537146614,5,0.00328731097961867,11,0.00723208415516108,21,0.0138067061143984,0,0,0,0,0,0,0,0,2,0.00131492439184747,27,0.0177514792899408,6,0.00394477317554241,4,0.00262984878369494,0,0,5,0.00328731097961867,129.826,0.0853556870479947,53,0.0348454963839579,0,0,25,0.0164365548980934
"LEKSAND C",202219,2022-05-14,1941,180.179,0.092827923750644,15,0.00772797527047913,61.439,0.0316532715095312,13,0.00669757856774858,37,0.0190623390005152,0,0,0.74,0.000381246780010304,5,0.00257599175682638,28,0.0144255538382277,10,0.00515198351365276,2,0.00103039670273055,8,0.00412158681092221,165.179,0.0850999484801649,74.179,0.0382168985059248,15,0.00772797527047913,0,0,0,0,46.439,0.023925296239052,9,0.00463678516228748,4,0.0020607934054611,16,0.00824317362184441,21,0.0108191653786708,0,0,0.566,0.000291602266872746,0.174,8.9644513137558e-05,0,0,5,0.00257599175682638,19,0.00978876867594024,9,0.00463678516228748,10,0.00515198351365276,2,0.00103039670273055,8,0.00412158681092221,165.179,0.0850999484801649,58,0.029881504379186,0,0,33,0.0170015455950541
"LEKSAND C",202219,2022-05-13,2123,224.659,0.105821479039096,15,0.00706547338671691,76.797,0.0361738106453132,30,0.0141309467734338,34,0.0160150730098917,0,0,1.862,0.000877060763071126,4,0.00188412623645784,38,0.0178991992463495,21,0.00989166274140367,1,0.000471031559114461,3,0.00141309467734338,209.659,0.0987560056523787,108.659,0.0511818181818182,15,0.00706547338671691,0,0,0,0,61.797,0.0291083372585963,22,0.0103626943005181,8,0.00376825247291569,17,0.00800753650494583,17,0.00800753650494583,0,0,1.62,0.000763071125765426,0.242,0.000113989637305699,0,0,4,0.00188412623645784,27,0.0127178520960904,11,0.00518134715025907,21,0.00989166274140367,1,0.000471031559114461,3,0.00141309467734338,209.659,0.0987560056523787,62,0.0292039566650966,0,0,39,0.018370230805464
"LEKSAND C",202219,2022-05-12,1836,139.136,0.0757821350762527,8,0.00435729847494553,44.084,0.0240108932461874,12,0.0065359477124183,27,0.0147058823529412,0,0,0.052,2.8322440087146e-05,1,0.000544662309368192,43,0.0234204793028322,1,0.000544662309368192,3,0.00163398692810458,0,0,131.136,0.0714248366013072,62.136,0.033843137254902,8,0.00435729847494553,0,0,0,0,36.084,0.0196535947712418,8,0.00435729847494553,4,0.00217864923747277,10,0.00544662309368192,17,0.00925925925925926,0,0,0.052,2.8322440087146e-05,0,0,0,0,1,0.000544662309368192,30,0.0163398692810458,13,0.00708061002178649,1,0.000544662309368192,3,0.00163398692810458,0,0,131.136,0.0714248366013072,48,0.0261437908496732,0,0,21,0.011437908496732
"LEKSAND C",202219,2022-05-11,1876,168.355,0.0897414712153518,3,0.00159914712153518,51.583,0.0274962686567164,21,0.0111940298507463,30,0.0159914712153518,0,0,1.772,0.00094456289978678,1,0.000533049040511727,49,0.0261194029850746,5,0.00266524520255864,6,0.00319829424307036,0,0,165.355,0.0881423240938166,92.355,0.0492297441364606,3,0.00159914712153518,0,0,0,0,48.583,0.0258971215351812,16,0.00852878464818763,5,0.00266524520255864,10,0.00533049040511727,20,0.0106609808102345,0,0,1.67,0.000890191897654584,0.102,5.43710021321962e-05,0,0,1,0.000533049040511727,29,0.0154584221748401,20,0.0106609808102345,5,0.00266524520255864,6,0.00319829424307036,0,0,165.355,0.0881423240938166,42,0.0223880597014925,0,0,31,0.0165245202558635
"LEKSAND C",202219,2022-05-10,1773,139.546,0.0787061477721376,3,0.00169204737732657,46.56,0.0262605752961083,25,0.0141003948110547,16,0.00902425267907501,0,0,0.986,0.000556119571347998,5,0.00282007896221094,31,0.0174844895657078,8,0.00451212633953751,0,0,4,0.00225606316976875,136.546,0.077014100394811,82.546,0.0465572476029329,3,0.00169204737732657,0,0,0,0,43.56,0.0245685279187817,20,0.0112803158488438,5,0.00282007896221094,5,0.00282007896221094,11,0.00620417371686407,0,0,0.822,0.000463620981387479,0.164,9.24985899605189e-05,0,0,5,0.00282007896221094,23,0.0129723632261703,8,0.00451212633953751,8,0.00451212633953751,0,0,4,0.00225606316976875,136.546,0.077014100394811,35,0.0197405527354766,0,0,19,0.0107163000564016
"LEKSAND C",202219,2022-05-09,1903,166.852,0.0876784025223332,4,0.00210194429847609,51.376,0.0269973725696269,16,0.00840777719390436,25,0.0131371518654756,0,0,9.476,0.00497950604308986,2,0.00105097214923805,47,0.0246978455070941,10,0.00525486074619023,0,0,2,0.00105097214923805,162.852,0.0855764582238571,88.852,0.0466904887020494,4,0.00210194429847609,0,0,0,0,47.376,0.0248954282711508,12,0.00630583289542827,4,0.00210194429847609,7,0.00367840252233316,18,0.00945874934314241,0,0,0.414,0.000217551234892275,0.108,5.67524960588544e-05,8.954,0.00470520231213873,2,0.00105097214923805,33,0.0173410404624277,14,0.00735680504466632,10,0.00525486074619023,0,0,2,0.00105097214923805,162.852,0.0855764582238571,46,0.024172359432475,0,0,28,0.0147136100893326
"LEKSAND C",202218,2022-05-08,1582,158.934,0.10046396965866,7,0.00442477876106195,18.934,0.011968394437421,11,0.00695322376738306,39,0.0246523388116308,0,0,11,0.00695322376738306,5,0.00316055625790139,49,0.0309734513274336,8,0.00505689001264223,9,0.0056890012642225,1,0.000632111251580278,151.934,0.096039190897598,58.934,0.0372528445006321,7,0.00442477876106195,0,0,0,0,11.934,0.00754361567635904,9,0.0056890012642225,2,0.00126422250316056,13,0.00821744627054362,26,0.0164348925410872,0,0,0,0,0,0,11,0.00695322376738306,5,0.00316055625790139,29,0.0183312262958281,20,0.0126422250316056,8,0.00505689001264223,9,0.0056890012642225,1,0.000632111251580278,151.934,0.096039190897598,50,0.0316055625790139,0,0,43,0.027180783817952
