"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ABP","skylttyp_convrate_ABP","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie","skylttyp_count_Deli","skylttyp_convrate_Deli","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"VENDELSÖ SÅGEN",202224,7999,1276.761,0.159615076884611,6.761,0.000845230653831729,106,0.0132516564570571,10,0.00125015626953369,682,0.0852606575821978,0,0,0,0,4,0.000500062507813477,45,0.00562570321290161,76,0.00950118764845606,5,0.000625078134766846,342,0.0427553444180523,1276.761,0.159615076884611,732,0.0915114389298662,0,0,6.761,0.000845230653831729,0,0,106,0.0132516564570571,0,0,10,0.00125015626953369,508,0.0635079384923115,174,0.0217527190898862,0,0,0,0,0,0,0,0,0,0,6,0.000750093761720215,43,0.00537567195899487,76,0.00950118764845606,5,0.000625078134766846,73,0.00912614076759595,269,0.0336292036504563,1276.761,0.159615076884611,289.761,0.0362246530816352,0,0,174,0.0217527190898862,0,0,0,0,81,0.0101262657832229
"VENDELSÖ SÅGEN",202223,8419,2073.296,0.246263926832165,6.296,0.000747832284119254,135,0.0160351585699014,19,0.00225680009502316,1563,0.185651502553747,0,0,0,0,11,0.00130656847606604,55,0.00653284238033021,38,0.00451360019004632,11,0.00130656847606604,235,0.0279130538068654,2073.296,0.246263926832165,1701,0.202042997980758,0,0,6.296,0.000747832284119254,0,0,135,0.0160351585699014,0,0,19,0.00225680009502316,1452,0.172467038840717,111,0.0131844637130301,0,0,0,0,0,0,0,0,0,0,25,0.002969473809241,41,0.00486993704715524,38,0.00451360019004632,11,0.00130656847606604,59,0.00700795818980877,176,0.0209050956170567,2073.296,0.246263926832165,212.296,0.0252162964722651,0,0,111,0.0131844637130301,0,0,0,0,49,0.00582016866611236
"VENDELSÖ SÅGEN",202222,8040,826.023,0.102739179104478,6.023,0.000749129353233831,78,0.00970149253731343,19,0.00236318407960199,375,0.0466417910447761,0,0,0,0,11,0.0013681592039801,49,0.00609452736318408,42,0.00522388059701493,1,0.000124378109452736,245,0.0304726368159204,826.023,0.102739179104478,380,0.0472636815920398,0,0,6.023,0.000749129353233831,0,0,78,0.00970149253731343,0,0,19,0.00236318407960199,184,0.0228855721393035,191,0.0237562189054726,0,0,0,0,0,0,0,0,0,0,15,0.00186567164179104,45,0.00559701492537313,42,0.00522388059701493,1,0.000124378109452736,69,0.00858208955223881,176,0.0218905472636816,826.023,0.102739179104478,212.023,0.0263710199004975,0,0,191,0.0237562189054726,0,0,0,0,43,0.00534825870646766
"VENDELSÖ SÅGEN",202221,7987,1223,0.153123826217604,0,0,80,0.01001627644923,9,0.00112683110053837,736,0.092149743332916,0,0,0,0,3,0.000375610366846125,68,0.0085138349818455,48,0.006009765869538,4,0.0005008138224615,275,0.0344309502942281,1223,0.153123826217604,744,0.093151370977839,0,0,0,0,0,0,80,0.01001627644923,0,0,9,0.00112683110053837,526,0.0658570176536872,210,0.0262927256792287,0,0,0,0,0,0,0,0,0,0,45,0.00563415550269187,26,0.00325528984599975,48,0.006009765869538,4,0.0005008138224615,70,0.00876424189307625,205,0.0256667084011519,1223,0.153123826217604,217,0.0271691498685364,0,0,210,0.0262927256792287,0,0,0,0,52,0.0065105796919995
"VENDELSÖ SÅGEN",202220,8205,2355.131,0.287036075563681,5.131,0.000625350396099939,114,0.0138939670932358,19,0.00231566118220597,1831,0.22315661182206,0,0,0,0,13,0.00158439975624619,37,0.00450944546008531,96,0.0117001828153565,1,0.00012187690432663,239,0.0291285801340646,2355.131,0.287036075563681,504,0.0614259597806216,0,0,5.131,0.000625350396099939,0,0,114,0.0138939670932358,0,0,19,0.00231566118220597,280,0.0341255332114564,1551,0.189031078610603,0,0,0,0,0,0,0,0,0,0,18,0.00219378427787934,32,0.00390006093845216,96,0.0117001828153565,1,0.00012187690432663,73,0.008897014015844,166,0.0202315661182206,2355.131,0.287036075563681,203.131,0.0247569774527727,0,0,1551,0.189031078610603,0,0,0,0,97,0.0118220597196831
"VENDELSÖ SÅGEN",202219,7834,1806.065,0.230541868777125,12.065,0.00154008169517488,106,0.0135307633392903,11,0.00140413581822824,1338,0.170793974980853,0,0,0,0,1,0.000127648710748021,32,0.00408475874393669,50,0.00638243553740107,6,0.000765892264488129,250,0.0319121776870054,1806.065,0.230541868777125,1388,0.177176410518254,0,0,12.065,0.00154008169517488,0,0,106,0.0135307633392903,0,0,11,0.00140413581822824,1181,0.150753127393413,157,0.0200408475874394,0,0,0,0,0,0,0,0,0,0,7,0.00089354097523615,26,0.00331886647944856,50,0.00638243553740107,6,0.000765892264488129,69,0.00880776104161348,181,0.0231044166453919,1806.065,0.230541868777125,205.065,0.026176282869543,0,0,157,0.0200408475874394,0,0,0,0,56,0.0071483278018892
"VENDELSÖ SÅGEN",202218,7759,1215.541,0.156662069854363,11.541,0.00148743394767367,130,0.0167547364351076,25,0.00322206469905916,688,0.088671220518108,0,0,0,0,6,0.000773295527774198,41,0.00528418610645702,59,0.00760407268977961,12,0.0015465910555484,243,0.031318468874855,1215.541,0.156662069854363,727,0.0936976414486403,0,0,11.541,0.00148743394767367,0,0,130,0.0167547364351076,5,0.000644412939811831,20,0.00257765175924733,488,0.0628947029256347,200,0.0257765175924733,0,0,0,0,0,0,0,0,0,0,30,0.00386647763887099,17,0.00219100399536023,59,0.00760407268977961,12,0.0015465910555484,63,0.00811960304162908,180,0.0231988658332259,1215.541,0.156662069854363,217.541,0.0280372470679211,0,0,200,0.0257765175924733,0,0,0,0,71,0.00915066374532801
"VENDELSÖ SÅGEN",202217,7726,1506.07,0.194935283458452,71.07,0.00919880921563552,127,0.016438001553197,19,0.00245922857882475,746,0.0965570799896454,0,0,0,0,7,0.000906031581672275,35,0.00453015790836138,31,0.00401242557597722,5,0.000647165415480197,465,0.0601863836396583,1506.07,0.194935283458452,787,0.101863836396583,0,0,71.07,0.00919880921563552,0,0,127,0.016438001553197,5,0.000647165415480197,14,0.00181206316334455,542,0.0701527310380533,204,0.026404348951592,0,0,0,0,0,0,0,0,0,0,22,0.00284752782811287,20,0.00258866166192079,31,0.00401242557597722,5,0.000647165415480197,78,0.0100957804814911,387,0.0500906031581672,1506.07,0.194935283458452,479.07,0.0620075071188196,0,0,204,0.026404348951592,0,0,0,0,36,0.00465959099145742
"VÄNERSBORG TORPA",202235,16188,7841.593,0.484407771188535,1123.751,0.0694187669878923,1371,0.0846923647146034,174,0.0107487027427724,3512,0.21695082777366,0,0,22.842,0.0014110452186805,92,0.00568322213985668,354,0.0218680504077094,137,0.00846305905609093,10,0.000617741536940944,1045,0.0645539906103286,7017.593,0.433505868544601,5133,0.317086730911787,824,0.0509019026439338,232.751,0.0143779960464542,67,0.00413886829750432,547,0.0337904620706696,16,0.00098838645910551,158,0.00976031628366691,3134,0.193600197677292,378,0.0233506300963677,0,0,0,0,2.93,0.000180998270323697,0,0,19.912,0.00123004694835681,314,0.0193970842599456,132,0.00815418828762046,137,0.00846305905609093,10,0.000617741536940944,258,0.0159377316530764,787,0.0486162589572523,7017.593,0.433505868544601,1269.751,0.07843779342723,67,0.00413886829750432,378,0.0233506300963677,0,0,22.842,0.0014110452186805,147,0.00908080059303188
"VÄNERSBORG TORPA",202233,15975,3411.583,0.213557621283255,184.473,0.0115476056338028,153,0.00957746478873239,88,0.00550860719874804,2158,0.13508607198748,0,0,30.11,0.0018848200312989,10,0.000625978090766823,145,0.00907668231611894,173,0.010829420970266,7,0.000438184663536776,463,0.0289827856025039,3374.583,0.211241502347418,1004,0.062848200312989,37,0.00231611893583725,147.473,0.00923148669796557,0,0,116,0.00726134585289515,13,0.00081377151799687,75,0.00469483568075117,539,0.0337402190923318,1619,0.101345852895149,0,0,0,0,3.392,0.000212331768388106,0,0,26.718,0.0016724882629108,69,0.00431924882629108,86,0.00538341158059468,173,0.010829420970266,7,0.000438184663536776,154,0.00964006259780908,309,0.0193427230046948,3374.583,0.211241502347418,541.473,0.0338950234741784,0,0,1619,0.101345852895149,0,0,30.11,0.0018848200312989,180,0.0112676056338028
"VÄNERSBORG TORPA",202232,15380,2950.044,0.191810403120936,182.924,0.0118936280884265,281,0.0182704811443433,82,0.00533159947984395,1636,0.106371911573472,0,0,29.12,0.00189336801040312,0,0,77,0.00500650195058518,149,0.00968790637191157,15,0.000975292587776333,498,0.0323797139141743,2787.044,0.1812122236671,1074,0.0698309492847854,163,0.0105981794538362,19.924,0.00129544863459038,0,0,118,0.00767230169050715,22,0.00143042912873862,60,0.00390117035110533,523,0.0340052015604681,1113,0.0723667100130039,0,0,0,0,3.402,0.000221196358907672,0,0,25.718,0.00167217165149545,10,0.000650195058517555,67,0.00435630689206762,149,0.00968790637191157,15,0.000975292587776333,171,0.0111183355006502,327,0.0212613784135241,2787.044,0.1812122236671,406.924,0.0264579973992198,0,0,1113,0.0723667100130039,0,0,29.12,0.00189336801040312,164,0.0106631989596879
"VÄNERSBORG TORPA",202231,13715,3734.782,0.27231367116296,81.454,0.00593904484141451,122,0.00889537003281079,88,0.00641633248268319,2536,0.18490703609187,0,0,30.328,0.00221130149471382,3,0.0002187386073642,93,0.00678089682829019,193,0.0140721837404302,8,0.000583302952971199,580,0.042289464090412,3718.782,0.271147065257018,2724,0.198614655486693,16,0.0011666059059424,65.454,0.00477243893547211,0,0,106,0.00772876412686839,14,0.0010207801676996,74,0.00539555231498359,2258,0.164637258476121,278,0.0202697776157492,0,0,0,0,3.542,0.000258257382427999,0,0,26.786,0.00195304411228582,27,0.0019686474662778,69,0.0050309879693766,193,0.0140721837404302,8,0.000583302952971199,237,0.0172803499817718,343,0.0250091141086402,3718.782,0.271147065257018,485.454,0.0353958439664601,0,0,278,0.0202697776157492,0,0,30.328,0.00221130149471382,201,0.0146554866934014
"VÄNERSBORG TORPA",202230,13824,1960.2,0.141796875,121.876,0.00881626157407407,175,0.0126591435185185,93,0.00672743055555556,672,0.0486111111111111,0,0,29.324,0.00212123842592593,10,0.00072337962962963,111,0.00802951388888889,190,0.013744212962963,15,0.00108506944444444,543,0.0392795138888889,1907.2,0.137962962962963,866,0.0626446759259259,53,0.00383391203703704,68.876,0.00498234953703704,0,0,122,0.00882523148148148,22,0.00159143518518519,71,0.00513599537037037,372,0.0269097222222222,300,0.0217013888888889,0,0,0,0,3.786,0.000273871527777778,0,0,25.538,0.00184736689814815,49,0.00354456018518519,72,0.00520833333333333,190,0.013744212962963,15,0.00108506944444444,186,0.0134548611111111,357,0.0258246527777778,1907.2,0.137962962962963,506.876,0.0366663773148148,0,0,300,0.0217013888888889,0,0,29.324,0.00212123842592593,205,0.0148292824074074
"VÄNERSBORG TORPA",202229,14252,1989.888,0.139621667134437,61.132,0.00428936289643559,159,0.0111563289362896,91,0.00638506876227898,818,0.0573954532697165,0,0,27.756,0.00194751613808588,77,0.00540275049115914,78,0.00547291608195341,150,0.0105248386191412,12,0.000841987089531294,516,0.0362054448498456,1953.888,0.137095705865843,914,0.0641313499859669,36,0.00252596126859388,25.132,0.00176340162784171,0,0,123,0.00863036766769576,20,0.00140331181588549,71,0.00498175694639349,502,0.0352231265787258,316,0.0221723266909907,0,0,0,0,3.74,0.000262419309570587,0,0,24.016,0.0016850968285153,103,0.00722705585181027,52,0.00364861072130227,150,0.0105248386191412,12,0.000841987089531294,155,0.0108756665731125,361,0.0253297782767331,1953.888,0.137095705865843,534.132,0.0374776873421274,0,0,316,0.0221723266909907,0,0,27.756,0.00194751613808588,162,0.0113668257086725
