"butik","vecka","antal_kvitton","sales_zoner_count_TOTAL","sales_zoner_frac_TOTAL","sales_zoner_count_Inkastare/entré","sales_zoner_frac_Inkastare/entré","sales_zoner_count_F&G","sales_zoner_frac_F&G","sales_zoner_count_Bröd","sales_zoner_frac_Bröd","sales_zoner_count_Bake off","sales_zoner_frac_Bake off","sales_zoner_count_Fisk","sales_zoner_frac_Fisk","sales_zoner_count_Deli","sales_zoner_frac_Deli","sales_zoner_count_Frys","sales_zoner_frac_Frys","sales_zoner_count_Mejeri","sales_zoner_frac_Mejeri","sales_zoner_count_Gavel 1","sales_zoner_frac_Gavel 1","sales_zoner_count_Gavel 2","sales_zoner_frac_Gavel 2","sales_zoner_count_Gavel 3","sales_zoner_frac_Gavel 3","sales_kampanj_count_TOTAL","sales_kampanj_frac_TOTAL","sales_kampanj_count_Kampanj 1 - F&G 1","sales_kampanj_frac_Kampanj 1 - F&G 1","sales_kampanj_count_Kampanj 2 - Hero protein","sales_kampanj_frac_Kampanj 2 - Hero protein","sales_kampanj_count_Kampanj 3 - Bomben","sales_kampanj_frac_Kampanj 3 - Bomben","sales_kampanj_count_Kampanj 2 - F&G 2","sales_kampanj_frac_Kampanj 2 - F&G 2","sales_kampanj_count_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_frac_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_count_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_frac_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_count_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_frac_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_count_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_frac_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_count_Kampanj 1 - bladet eller Lax","sales_kampanj_frac_Kampanj 1 - bladet eller Lax","sales_kampanj_count_Mölnlycke","sales_kampanj_frac_Mölnlycke","sales_kampanj_count_Triangeln","sales_kampanj_frac_Triangeln","sales_kampanj_count_Trianglen","sales_kampanj_frac_Trianglen","sales_kampanj_count_Kampanj 1","sales_kampanj_frac_Kampanj 1","sales_kampanj_count_Kampanj 2","sales_kampanj_frac_Kampanj 2","sales_kampanj_count_ABP_3_för_25","sales_kampanj_frac_ABP_3_för_25","sales_kampanj_count_ABP_2_för_28","sales_kampanj_frac_ABP_2_för_28","sales_kampanj_count_Kampanj 1 - snacks","sales_kampanj_frac_Kampanj 1 - snacks","sales_kampanj_count_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_kampanj_frac_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_skylttyp_count_TOTAL","sales_skylttyp_frac_TOTAL","sales_skylttyp_count_Kampanjvara","sales_skylttyp_frac_Kampanjvara","sales_skylttyp_count_Klubbpris","sales_skylttyp_frac_Klubbpris","sales_skylttyp_count_veckans klipp","sales_skylttyp_frac_veckans klipp","sales_skylttyp_count_klubbpris","sales_skylttyp_frac_klubbpris","sales_skylttyp_count_kampanjvara","sales_skylttyp_frac_kampanjvara","sales_skylttyp_count_ABP","sales_skylttyp_frac_ABP","sales_skylttyp_count_Ordinarie","sales_skylttyp_frac_Ordinarie","sales_skylttyp_count_Deli","sales_skylttyp_frac_Deli","sales_skylttyp_count_alltid bra pris","sales_skylttyp_frac_alltid bra pris"
"HEMKÖP MÖLNLYCKE C",202229,12016,2841.399,0.236467959387483,135.701,0.0112933588548602,475,0.0395306258322237,98,0.00815579227696405,702,0.058422103861518,0,0,196.698,0.0163696737683089,132,0.0109853528628495,147,0.0122336884154461,336,0.0279627163781625,29,0.00241344873501997,590,0.0491011984021305,2735.399,0.227646388149134,106,0.00882157123834887,29.701,0.00247178761651132,0,0,369,0.0307090545938748,29,0.00241344873501997,69,0.00574234354194407,536,0.044607190412783,166,0.013814913448735,0,0,188,0.0156458055925433,3.764,0.000313249001331558,4.934,0.000410619174434088,174,0.0144806924101198,105,0.00873834886817577,336,0.0279627163781625,29,0.00241344873501997,202,0.0168109187749667,388,0.0322902796271638,2735.399,0.227646388149134,706,0.0587549933422104,29.701,0.00247178761651132,0,0,589,0.0490179760319574,683,0.056840878828229,166,0.013814913448735,0,0,196.698,0.0163696737683089,365,0.0303761651131824
"HEMKÖP MÖLNLYCKE C",202228,12252,2309.512,0.188500816193275,120.642,0.00984671890303624,372,0.0303623898139079,97,0.00791707476330395,475,0.0387691805419523,0,0,158.87,0.0129668625530526,20,0.00163238654913484,125,0.0102024159320927,364,0.029709435194254,16,0.00130590923930787,561,0.0457884427032321,2232.512,0.182216127979105,77,0.00628468821416911,43.642,0.00356203068886712,0,0,295,0.0240777015997388,40,0.00326477309826967,57,0.00465230166503428,358,0.0292197192295135,117,0.00954946131243879,0,0,147,0.011998041136141,4.824,0.000393731635651322,7.046,0.000575089781260202,46,0.00375448906301012,99,0.00808031341821743,364,0.029709435194254,16,0.00130590923930787,197,0.0160790075089781,364,0.029709435194254,2232.512,0.182216127979105,609,0.0497061704211557,43.642,0.00356203068886712,0,0,441,0.0359941234084231,483,0.0394221351616063,117,0.00954946131243879,0,0,158.87,0.0129668625530526,380,0.0310153444335619
"HEMKÖP MÖLNLYCKE C",202227,13070,6171.24,0.472168324407039,111.85,0.00855776587605203,449,0.0343534812547819,306,0.0234123947972456,3970,0.303749043611324,0,0,190.39,0.0145669472073451,10,0.000765110941086458,152,0.0116296863045142,418,0.0319816373374139,7,0.00053557765876052,557,0.0426166794185157,6104.24,0.46704208110176,67,0.00512624330527927,44.85,0.00343152257077276,0,0,382,0.0292272379495027,26,0.00198928844682479,280,0.0214231063504208,3832,0.293190512624331,138,0.0105585309869931,0,0,176,0.0134659525631217,2.428,0.000185768936495792,11.962,0.000915225707727621,40,0.00306044376434583,122,0.00933435348125478,418,0.0319816373374139,7,0.00053557765876052,173,0.0132364192807957,384,0.02938026013772,6104.24,0.46704208110176,648,0.0495791889824024,44.85,0.00343152257077276,0,0,674,0.0515684774292272,3984,0.304820198928845,138,0.0105585309869931,0,0,190.39,0.0145669472073451,425,0.0325172149961744
"HEMKÖP MÖLNLYCKE C",202226,13574,2713.866,0.199931191984677,168.522,0.012415058199499,573,0.0422130543686459,86,0.0063356416678945,686,0.0505377928392515,0,0,195.344,0.0143910416973626,16,0.00117872403123619,156,0.0114925593045528,361,0.0265949609547665,24,0.00176808604685428,448,0.0330042728746132,2599.866,0.191532783262119,114,0.00839840872255783,54.522,0.00401664947694121,0,0,459,0.0338146456460881,26,0.0019154265507588,60,0.0044202151171357,521,0.0383822012671283,165,0.0121555915721232,0,0,181,0.0133343156033594,2.776,0.000204508619419478,11.568,0.000852217474583763,48,0.00353617209370856,124,0.00913511124208045,361,0.0265949609547665,24,0.00176808604685428,149,0.010976867540887,299,0.0220274053337262,2599.866,0.191532783262119,748,0.0551053484602917,54.522,0.00401664947694121,0,0,375,0.0276263444820981,677,0.0498747605716812,165,0.0121555915721232,0,0,195.344,0.0143910416973626,385,0.0283630470016207
"HEMKÖP MÖLNLYCKE C",202225,13874,3306.637,0.238333357359089,179.421,0.0129321752919129,1016,0.0732305030993225,103,0.00742395848349431,672,0.0484359233097881,0,0,198.216,0.0142868675219836,24,0.001729854403921,149,0.0107395127576762,337,0.0242900389217241,32,0.00230647253856134,596,0.0429580510307049,3179.637,0.229179544471674,127,0.00915381288741531,52.421,0.00377836240449762,0,0,889,0.0640766902119072,38,0.00273893613954159,65,0.00468502234395272,530,0.0382009514199222,142,0.0102349718898659,0,0,179,0.0129018307625775,4.006,0.000288741530921148,15.21,0.00109629522848494,59,0.00425255874297247,114,0.00821680841862477,337,0.0242900389217241,32,0.00230647253856134,302,0.0217673345826726,294,0.0211907164480323,3179.637,0.229179544471674,1356,0.0977367738215367,52.421,0.00377836240449762,0,0,383,0.027605593195906,679,0.0489404641775984,142,0.0102349718898659,0,0,198.216,0.0142868675219836,369,0.0265965114602854
"HEMKÖP MÖLNLYCKE C",202224,14321,3573.486,0.249527686614063,174.458,0.012181970532784,577,0.0402904825082047,85,0.00593533971091404,746,0.0520913344040221,0,0,655.028,0.0457389847077718,15,0.0010474128901613,157,0.0109629215836883,396,0.0276517003002584,32,0.00223448083234411,736,0.0513930591439145,3454.486,0.241218211018784,119,0.00830947559527966,55.458,0.00387249493750436,0,0,458,0.0319810069129251,34,0.00237413588436562,51,0.00356120382654843,526,0.0367292786816563,220,0.0153620557223658,0,0,640,0.0446896166468822,6.214,0.000433908246630822,8.814,0.000615459814258781,49,0.00342154877452692,123,0.00858878569932267,396,0.0276517003002584,32,0.00223448083234411,168,0.0117310243698066,568,0.039662034774108,3454.486,0.241218211018784,779,0.0543956427623769,55.458,0.00387249493750436,0,0,634,0.0442706514908177,683,0.0476922002653446,220,0.0153620557223658,0,0,655.028,0.0457389847077718,428,0.0298861811326025
"HEMKÖP MÖLNLYCKE C",202223,14352,5706.393,0.397602633779264,250.711,0.0174687151616499,681,0.0474498327759197,93,0.00647993311036789,3265,0.227494425863991,0,0,199.682,0.0139131828316611,14,0.000975473801560758,225,0.0156772575250836,463,0.0322603121516165,30,0.00209030100334448,485,0.0337931995540691,5512.393,0.384085353957637,194,0.0135172798216276,56.711,0.0039514353400223,0,0,487,0.0339325529542921,30,0.00209030100334448,63,0.00438963210702341,3132,0.218227424749164,133,0.0092670011148272,0,0,189,0.0131688963210702,2.916,0.000203177257525084,7.766,0.000541109253065775,84,0.00585284280936455,155,0.0107998885172798,463,0.0322603121516165,30,0.00209030100334448,176,0.012263099219621,309,0.0215301003344482,5512.393,0.384085353957637,887,0.0618032329988852,56.711,0.0039514353400223,0,0,386,0.0268952062430323,3357,0.233904682274247,133,0.0092670011148272,0,0,199.682,0.0139131828316611,493,0.034350613154961
"HEMKÖP MÖLNLYCKE C",202222,14288,3297.22,0.230768477043673,268.132,0.0187662374020157,748,0.0523516237402016,92,0.00643896976483763,610,0.0426931690929451,0,0,211.088,0.0147737961926092,23,0.00160974244120941,367,0.0256858902575588,442,0.0309350503919373,20,0.00139977603583427,516,0.0361142217245241,3083.22,0.215790873460246,214,0.0149776035834267,54.132,0.00378863381858903,0,0,534,0.0373740201567749,41,0.00286954087346025,51,0.00356942889137738,452,0.0316349384098544,158,0.0110582306830907,0,0,194,0.0135778275475924,2.17,0.000151875699888018,14.918,0.00104409294512878,70,0.00489921612541993,320,0.0223964165733483,442,0.0309350503919373,20,0.00139977603583427,197,0.0137877939529675,319,0.0223264277715566,3083.22,0.215790873460246,986,0.0690089585666293,54.132,0.00378863381858903,0,0,393,0.0275055991041433,819,0.0573208286674132,158,0.0110582306830907,0,0,211.088,0.0147737961926092,462,0.0323348264277716
"HEMKÖP MÖLNLYCKE C",202221,14095,4209.778,0.298671727562966,660.095,0.0468318552678255,1081,0.0766938630720114,114,0.00808797445902802,728,0.0516495211067755,0,0,197.683,0.0140250443419652,25,0.00177367860943597,372,0.0263923377084072,385,0.0273146505853139,33,0.00234125576445548,614,0.0435615466477474,3623.778,0.257096700957786,586,0.0415750266051791,74.095,0.00525682866264633,0,0,495,0.0351188364668322,30,0.00212841433132316,84,0.00595956012770486,510,0.0361830436324938,218,0.0154664774742817,0,0,181,0.0128414331323164,5.448,0.000386520042568287,11.235,0.000797091167080525,265,0.0188009932600213,132,0.00936502305782192,385,0.0273146505853139,33,0.00234125576445548,205,0.014544164597375,409,0.0290173820503725,3623.778,0.257096700957786,1316,0.0933664420007095,74.095,0.00525682866264633,0,0,518,0.0367506207875133,882,0.062575381340901,218,0.0154664774742817,0,0,197.683,0.0140250443419652,418,0.0296559063497694
"HEMKÖP MÖLNLYCKE C",202220,14278,4415.536,0.309254517439417,566.51,0.0396771256478498,1089,0.076271186440678,111,0.00777419806695616,872,0.0610729794088808,0,0,179.026,0.0125385908390531,45,0.00315170191903628,136,0.00952514357753187,912,0.0638744922258019,28,0.0019610589718448,477,0.0334080403417846,3891.536,0.27255469953775,524,0.0366998179016669,42.51,0.00297730774618294,0,0,565,0.0395713685390111,26,0.00182098333099874,85,0.00595321473595742,599,0.041952654433394,273,0.0191203249754868,0,0,169,0.0118363916514918,1.398,9.79128729513937e-05,8.628,0.000604286314609889,60,0.00420226922538171,121,0.00847457627118644,912,0.0638744922258019,28,0.0019610589718448,199,0.0139375262641827,278,0.0194705140776019,3891.536,0.27255469953775,1314,0.0920296960358594,42.51,0.00297730774618294,0,0,408,0.0285754307325956,735,0.0514777980109259,273,0.0191203249754868,0,0,179.026,0.0125385908390531,940,0.0658355511976467
