"butik","vecka","antal_kvitton","sales_zoner_count_TOTAL","sales_zoner_frac_TOTAL","sales_zoner_count_Inkastare/entré","sales_zoner_frac_Inkastare/entré","sales_zoner_count_F&G","sales_zoner_frac_F&G","sales_zoner_count_Bröd","sales_zoner_frac_Bröd","sales_zoner_count_Bake off","sales_zoner_frac_Bake off","sales_zoner_count_Fisk","sales_zoner_frac_Fisk","sales_zoner_count_Deli","sales_zoner_frac_Deli","sales_zoner_count_Frys","sales_zoner_frac_Frys","sales_zoner_count_Mejeri","sales_zoner_frac_Mejeri","sales_zoner_count_Gavel 1","sales_zoner_frac_Gavel 1","sales_zoner_count_Gavel 2","sales_zoner_frac_Gavel 2","sales_zoner_count_Gavel 3","sales_zoner_frac_Gavel 3","sales_kampanj_count_TOTAL","sales_kampanj_frac_TOTAL","sales_kampanj_count_Kampanj 1 - F&G 1","sales_kampanj_frac_Kampanj 1 - F&G 1","sales_kampanj_count_Kampanj 2 - Hero protein","sales_kampanj_frac_Kampanj 2 - Hero protein","sales_kampanj_count_Kampanj 3 - Bomben","sales_kampanj_frac_Kampanj 3 - Bomben","sales_kampanj_count_Kampanj 2 - F&G 2","sales_kampanj_frac_Kampanj 2 - F&G 2","sales_kampanj_count_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_frac_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_count_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_frac_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_count_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_frac_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_count_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_frac_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_count_Kampanj 1 - bladet eller Lax","sales_kampanj_frac_Kampanj 1 - bladet eller Lax","sales_kampanj_count_Mölnlycke","sales_kampanj_frac_Mölnlycke","sales_kampanj_count_Triangeln","sales_kampanj_frac_Triangeln","sales_kampanj_count_Trianglen","sales_kampanj_frac_Trianglen","sales_kampanj_count_Kampanj 1","sales_kampanj_frac_Kampanj 1","sales_kampanj_count_Kampanj 2","sales_kampanj_frac_Kampanj 2","sales_kampanj_count_ABP 3 för 25","sales_kampanj_frac_ABP 3 för 25","sales_kampanj_count_ABP_2_för_28","sales_kampanj_frac_ABP_2_för_28","sales_kampanj_count_Kampanj 1 - snacks","sales_kampanj_frac_Kampanj 1 - snacks","sales_kampanj_count_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_kampanj_frac_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_skylttyp_count_TOTAL","sales_skylttyp_frac_TOTAL","sales_skylttyp_count_kampanjvara","sales_skylttyp_frac_kampanjvara","sales_skylttyp_count_klubbpris","sales_skylttyp_frac_klubbpris","sales_skylttyp_count_veckans klipp","sales_skylttyp_frac_veckans klipp","sales_skylttyp_count_alltid bra pris","sales_skylttyp_frac_alltid bra pris","sales_skylttyp_count_ordinariepris","sales_skylttyp_frac_ordinariepris","sales_skylttyp_count_Alltid bra pris","sales_skylttyp_frac_Alltid bra pris"
"HEMKÖP UPPSALA VÄSTERTORG",202224,8162,981.986,0.120311933349669,140,0.0171526586620926,122,0.0149473168341093,100,0.0122518990443519,209,0.0256064690026954,8.986,0.00110095564812546,135,0.016540063709875,89,0.0109041901494732,54,0.00661602548395001,34,0.00416564567507964,16,0.0019603038470963,74,0.00906640529282039,934.986,0.114553540798824,47,0.00575839255084538,8,0.00098015192354815,85,0.0104141141876991,75,0.00918892428326391,0,0,100,0.0122518990443519,152,0.0186228865474148,57,0.00698358245528057,8.986,0.00110095564812546,135,0.016540063709875,0,0,0,0,106,0.012987012987013,37,0.00453320264641019,34,0.00416564567507964,16,0.0019603038470963,33,0.00404312668463612,41,0.00502327860818427,934.986,0.114553540798824,271.986,0.0333234501347709,151,0.0185003675569713,85,0.0104141141876991,242,0.0296495956873315,135,0.016540063709875,50,0.00612594952217594
"HEMKÖP UPPSALA VÄSTERTORG",202223,8481,1006,0.118618087489683,240,0.0282985496993279,174,0.0205164485320127,41,0.00483433557363518,264,0.0311284046692607,0,0,44,0.00518806744487678,0,0,73,0.00860747553354557,72,0.00848956490979837,22,0.00259403372243839,76,0.00896120740478717,832,0.0981016389576701,174,0.0205164485320127,6,0.000707463742483198,60,0.00707463742483198,0,0,0,0,41,0.00483433557363518,168,0.0198089847895295,96,0.0113194198797312,0,0,44,0.00518806744487678,0,0,0,0,35,0.00412687183115199,38,0.00448060370239359,72,0.00848956490979837,22,0.00259403372243839,35,0.00412687183115199,41,0.00483433557363518,832,0.0981016389576701,256,0.0301851196792831,79,0.00931493927602877,60,0.00707463742483198,299,0.0352552765004127,44,0.00518806744487678,94,0.0110835986322368
"HEMKÖP UPPSALA VÄSTERTORG",202222,8677,1600,0.184395528408436,514,0.0592370635012101,395,0.0455226460758327,48,0.00553186585225308,345,0.039760285813069,0,0,42,0.00484038262072145,0,0,89,0.0102570012677193,42,0.00484038262072145,29,0.0033421689524029,96,0.0110637317045062,1205,0.138872882332603,395,0.0455226460758327,12,0.00138296646306327,107,0.0123314509623142,0,0,0,0,48,0.00553186585225308,171,0.0197072720986516,174,0.0200530137144174,0,0,42,0.00484038262072145,0,0,0,0,30,0.00345741615765818,59,0.00679958511006108,42,0.00484038262072145,29,0.0033421689524029,34,0.00391840497867927,62,0.0071453267258269,1205,0.138872882332603,505,0.0581998386539126,101,0.0116399677307825,107,0.0123314509623142,379,0.0436786907917483,42,0.00484038262072145,71,0.00818255157312435
"HEMKÖP UPPSALA VÄSTERTORG",202221,8337,759,0.0910399424253329,108,0.0129543001079525,36,0.00431810003598417,43,0.00515773059853664,233,0.0279477030106753,0,0,46,0.00551757226820199,0,0,104,0.0124745112150654,52,0.00623725560753269,32,0.00383831114309704,105,0.0125944584382872,723,0.0867218423893487,36,0.00431810003598417,7,0.000839630562552477,65,0.00779656950941586,0,0,0,0,43,0.00515773059853664,153,0.0183519251529327,80,0.00959577785774259,0,0,46,0.00551757226820199,0,0,0,0,14,0.00167926112510495,90,0.0107952500899604,52,0.00623725560753269,32,0.00383831114309704,57,0.0068369917236416,48,0.00575746671464556,723,0.0867218423893487,127,0.0152332973491664,111,0.0133141417776178,65,0.00779656950941586,290,0.0347846947343169,46,0.00551757226820199,84,0.0100755667506297
"HEMKÖP UPPSALA VÄSTERTORG",202220,8764,1713,0.195458694659973,354,0.0403925148334094,653,0.0745093564582383,82,0.00935645823824738,255,0.0290963030579644,0,0,43,0.00490643541761753,0,0,84,0.00958466453674121,151,0.0172295755362848,25,0.00285257873117298,66,0.00753080785029667,1442,0.164536741214058,271,0.0309219534459151,4,0.000456412596987677,79,0.00901414879050662,382,0.0435874030123231,34,0.00387950707439525,48,0.00547695116385212,179,0.0204244637151985,76,0.00867183934276586,0,0,43,0.00490643541761753,0,0,0,0,26,0.0029666818804199,58,0.00661798265632131,151,0.0172295755362848,25,0.00285257873117298,39,0.00445002282062985,27,0.00308078502966682,1442,0.164536741214058,762,0.0869465997261524,88,0.0100410771337289,79,0.00901414879050662,294,0.0335463258785942,43,0.00490643541761753,176,0.0200821542674578
"HEMKÖP UPPSALA VÄSTERTORG",202219,8617,797,0.0924915863989788,120,0.0139259603110131,39,0.00452593710107926,131,0.015202506672856,184,0.0213531391435534,0,0,33,0.00382963908552861,0,0,91,0.0105605199025183,72,0.00835557618660787,32,0.00371358941627016,95,0.011024718579552,772,0.0895903446675177,25,0.00290124173146107,14,0.0016246953696182,81,0.00940002320993385,14,0.0016246953696182,90,0.0104444702332598,41,0.00475803643959615,131,0.015202506672856,53,0.00615063247069746,0,0,33,0.00382963908552861,0,0,0,0,28,0.00324939073923639,63,0.00731112916328188,72,0.00835557618660787,32,0.00371358941627016,49,0.00568643379366369,46,0.00533828478588836,772,0.0895903446675177,216,0.0250667285598236,105,0.0121852152721365,81,0.00940002320993385,233,0.0270395729372171,33,0.00382963908552861,104,0.012069165602878
"HEMKÖP UPPSALA VÄSTERTORG",202218,8613,1438,0.166956925577615,272,0.031580169511204,603,0.0700104493207941,38,0.0044119354464182,215,0.0249622663415767,0,0,55,0.00638569604086846,0,0,75,0.00870776732845698,69,0.00801114594218042,29,0.00336700336700337,82,0.00952049227911297,1271,0.147567630326251,167,0.0193892952513642,41,0.00476024613955648,64,0.00743062812028329,436,0.0506211540694299,0,0,38,0.0044119354464182,142,0.0164867061418786,73,0.00847556019969813,0,0,55,0.00638569604086846,0,0,0,0,12,0.00139324277255312,63,0.00731452455590387,69,0.00801114594218042,29,0.00336700336700337,30,0.00348310693138279,52,0.00603738534773018,1271,0.147567630326251,693,0.0804597701149425,116,0.0134680134680135,64,0.00743062812028329,245,0.0284453732729595,55,0.00638569604086846,98,0.0113781493091838
"HEMKÖP UPPSALA VÄSTERTORG",202217,8670,2342,0.270126874279123,663,0.0764705882352941,704,0.081199538638985,53,0.00611303344867359,572,0.0659746251441753,0,0,62,0.00715109573241061,7,0.000807381776239908,80,0.00922722029988466,56,0.00645905420991926,27,0.00311418685121107,118,0.0136101499423299,1762,0.20322952710496,580,0.0668973471741638,9,0.00103806228373702,74,0.00853517877739331,124,0.0143021914648212,0,0,53,0.00611303344867359,165,0.0190311418685121,407,0.0469434832756632,0,0,62,0.00715109573241061,0,0,0,0,20,0.00230680507497117,67,0.0077277970011534,56,0.00645905420991926,27,0.00311418685121107,64,0.00738177623990773,54,0.00622837370242215,1762,0.20322952710496,811,0.0935409457900807,96,0.0110726643598616,74,0.00853517877739331,636,0.073356401384083,62,0.00715109573241061,83,0.00957324106113033
"HEMKÖP UPPSALA VÄSTERTORG",202216,8624,1039,0.120477736549165,172,0.0199443413729128,115,0.013334879406308,54,0.00626159554730983,171,0.0198283858998145,0,0,58,0.00672541743970315,3,0.000347866419294991,300,0.0347866419294991,63,0.00730519480519481,23,0.0026669758812616,80,0.00927643784786642,964,0.11178107606679,75,0.00869666048237477,7,0.000811688311688312,90,0.0104359925788497,40,0.00463821892393321,0,0,54,0.00626159554730983,127,0.0147263450834879,44,0.00510204081632653,0,0,58,0.00672541743970315,0,0,0,0,12,0.00139146567717996,291,0.0337430426716141,63,0.00730519480519481,23,0.0026669758812616,33,0.0038265306122449,47,0.00544990723562152,964,0.11178107606679,216,0.0250463821892393,310,0.0359461966604824,90,0.0104359925788497,204,0.0236549165120594,58,0.00672541743970315,86,0.0099721706864564
"HEMKÖP UPPSALA VÄSTERTORG",202215,7268,964,0.1326362135388,268,0.0368739680792515,238,0.0327462850853055,34,0.00467804072647221,181,0.0249036873968079,0,0,48,0.0066042927903137,1,0.000137589433131535,86,0.0118326912493121,36,0.00495321959273528,15,0.00206384149697303,57,0.00784259768849752,758,0.104292790313704,206,0.0283434232250963,7,0.000963126031920749,55,0.00756741882223445,32,0.00440286186020914,0,0,34,0.00467804072647221,120,0.0165107319757843,61,0.00839295542102367,0,0,48,0.0066042927903137,0,0,0,0,14,0.0019262520638415,73,0.0100440286186021,36,0.00495321959273528,15,0.00206384149697303,24,0.00330214639515685,33,0.00454045129334067,758,0.104292790313704,305,0.0419647771051183,94,0.0129334067143643,55,0.00756741882223445,205,0.0282058337919648,48,0.0066042927903137,51,0.00701706108970831
