"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_OBS_endast_trianglen","kampanj_convrate_OBS_endast_trianglen","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"STOCKHOLM SKARPNÄCK",202226,9224,1797.632,0.194886383347788,533,0.0577840416305291,348,0.0377276669557676,246,0.0266695576756288,131,0.0142020815264527,2.632,0.000285342584562012,48,0.00520381613183001,213,0.0230919340849957,31,0.00336079791847355,160,0.0173460537727667,85,0.00921509106678231,1535.134,0.166428230702515,683,0.0740459670424978,263,0.0285125758889853,139,0.0150693842150911,131,0.0142020815264527,85,0.00921509106678231,27,0.00292714657415438,219,0.0237424111014744,131,0.0142020815264527,2.474,0.000268213356461405,0,0,0.502,5.44232437120555e-05,0.158,1.71292281006071e-05,223,0.0241760624457936,38,0.00411968777103209,31,0.00336079791847355,150,0.0162619254119688,10,0.00108412836079792,40,0.00433651344319167,45,0.00487857762359063,1403.632,0.15217172593235,396,0.0429314830875976,131,0.0142020815264527,2.632,0.000285342584562012,191,0.0207068516912402
"STOCKHOLM SKARPNÄCK",202225,9639,2647.014,0.274615001556178,928,0.0962755472559394,627,0.0650482415188297,309,0.032057267351385,197,0.0204378047515302,8.014,0.000831414047100322,50,0.00518726008922087,93,0.00964830376595082,24,0.00248988484282602,246,0.0255213196389667,165,0.0171179582944289,2152.572,0.223319016495487,906,0.0939931528166822,495,0.0513538748832866,236,0.0244838676211225,197,0.0204378047515302,132,0.0136943666355431,12,0.00124494242141301,297,0.030812324929972,197,0.0204378047515302,3.834,0.000397759103641457,0.178,1.84666459176263e-05,0.558,5.78898225957049e-05,4.002,0.000415188297541239,102,0.0105820105820106,41,0.00425355327316112,24,0.00248988484282602,238,0.0246913580246914,8,0.00082996161427534,46,0.0047722792820832,119,0.0123456790123457,1955.014,0.202823321921361,574,0.0595497458242556,197,0.0204378047515302,8.014,0.000831414047100322,270,0.0280112044817927
"STOCKHOLM SKARPNÄCK",202224,9768,2017.48,0.206539721539722,510,0.0522113022113022,431,0.0441236691236691,277,0.0283579033579034,205,0.020986895986896,15.48,0.00158476658476658,48,0.00491400491400491,147,0.01504914004914,41,0.0041973791973792,250,0.0255937755937756,93,0.00952088452088452,1754.344,0.179601146601147,706,0.0722768222768223,265,0.0271294021294021,40,0.0040950040950041,205,0.020986895986896,166,0.016994266994267,26,0.00266175266175266,251,0.0256961506961507,205,0.020986895986896,12.878,0.00131838656838657,0.522,5.34398034398034e-05,1.864,0.000190827190827191,2.08,0.000212940212940213,156,0.015970515970516,39,0.00399262899262899,41,0.0041973791973792,243,0.0248771498771499,7,0.000716625716625717,42,0.0042997542997543,51,0.00522113022113022,1547.48,0.158423423423423,330,0.0337837837837838,205,0.020986895986896,15.48,0.00158476658476658,291,0.0297911547911548
"STOCKHOLM SKARPNÄCK",202223,10224,4258.057,0.416476623630673,1604,0.156885758998435,505,0.0493935837245696,373,0.0364827856025039,1263,0.123532863849765,8.057,0.000788047730829421,37,0.0036189358372457,89,0.00870500782472614,14,0.00136932707355243,267,0.0261150234741784,98,0.00958528951486698,3981.057,0.389383509389671,719,0.0703247261345853,277,0.0270931142410016,64,0.00625978090766823,1263,0.123532863849765,228,0.0223004694835681,31,0.0030320813771518,342,0.0334507042253521,1263,0.123532863849765,3.682,0.000360133020344288,0.866,8.47026604068858e-05,0,0,3.509,0.000343212050078247,85,0.00831377151799687,41,0.00401017214397496,14,0.00136932707355243,253,0.024745696400626,14,0.00136932707355243,37,0.0036189358372457,61,0.00596635367762128,2718.057,0.265850645539906,447,0.0437206572769953,1263,0.123532863849765,8.057,0.000788047730829421,281,0.0274843505477308
"STOCKHOLM SKARPNÄCK",202222,9630,2408.948,0.25015036344756,719,0.07466251298027,517,0.0536863966770509,497,0.0516095534787124,201,0.0208722741433022,4.948,0.000513811007268951,54,0.00560747663551402,147,0.0152647975077882,34,0.00353063343717549,163,0.016926272066459,72,0.00747663551401869,2152.948,0.223566770508827,708,0.0735202492211838,256,0.0265835929387331,262,0.0272066458982347,201,0.0208722741433022,261,0.0271028037383178,29,0.00301142263759086,468,0.0485981308411215,201,0.0208722741433022,2.462,0.000255659397715472,1.338,0.000138940809968847,0,0,1.148,0.000119210799584631,90,0.00934579439252336,111,0.0115264797507788,34,0.00353063343717549,145,0.0150571131879543,18,0.00186915887850467,12,0.00124610591900312,60,0.00623052959501558,1951.948,0.202694496365524,841,0.087331256490135,201,0.0208722741433022,4.948,0.000513811007268951,197,0.0204569055036345
"STOCKHOLM SKARPNÄCK",202221,9253,1863.544,0.201398897654815,432,0.0466875607910948,597,0.0645196152599157,201,0.0217226845347455,154,0.0166432508375662,4.544,0.00049108397276559,36,0.00389063006592456,176,0.0190208581000757,34,0.00367448395115098,152,0.0164271047227926,77,0.0083216254187831,1628.544,0.176001729168918,874,0.0944558521560575,235,0.0253971684858965,43,0.00464714146763212,154,0.0166432508375662,362,0.0391224467740192,33,0.00356641089376418,168,0.0181562736409813,154,0.0166432508375662,4.078,0.000440721928023344,0.328,3.54479628228683e-05,0,0,0.138,1.49140819193775e-05,167,0.0180482005835945,45,0.00486328758240571,34,0.00367448395115098,123,0.0132929860585756,29,0.00313411866421701,25,0.00270182643466984,52,0.00561979898411326,1474.544,0.159358478331352,256,0.0276667026910191,154,0.0166432508375662,4.544,0.00049108397276559,186,0.0201015886739436
"STOCKHOLM SKARPNÄCK",202220,9655,2005.904,0.207758052822372,563,0.0583117555670637,547,0.0566545831175557,188,0.0194717762817193,243,0.0251683065769032,3.904,0.000404350077679959,42,0.00435007767995857,72,0.00745727602278612,40,0.00414293112377007,232,0.0240290005178664,75,0.00776799585706888,1741.904,0.180414707405489,724,0.0749870533402382,264,0.0273433454168824,56,0.00580010357327809,243,0.0251683065769032,283,0.0293112377006732,27,0.0027964785085448,161,0.0166752977731745,243,0.0251683065769032,2.066,0.000213982392542724,0.452,4.68151216986018e-05,0,0,1.386,0.000143552563438633,75,0.00776799585706888,39,0.00403935784567582,40,0.00414293112377007,216,0.0223718280683584,16,0.00165717244950803,16,0.00165717244950803,59,0.00611082340756085,1498.904,0.155246400828586,256,0.0265147591921284,243,0.0251683065769032,3.904,0.000404350077679959,272,0.0281719316416365
"STOCKHOLM SKARPNÄCK",202219,9156,3429.438,0.374556356487549,1427,0.155854084753167,473,0.0516601135867191,282,0.0307994757536042,831,0.0907601572739187,5.438,0.00059392747924858,37,0.00404106596767147,95,0.0103757099169943,26,0.00283966797728266,165,0.0180209698558322,88,0.00961118392311053,3157.438,0.344849060725208,678,0.0740498034076016,272,0.0297072957623416,324,0.0353866317169069,831,0.0907601572739187,201,0.0219528178243775,32,0.00349497597204019,250,0.027304499781564,831,0.0907601572739187,2.674,0.000292048929663609,0.33,3.60419397116645e-05,0,0,2.434,0.000265836609873307,85,0.00928352992573176,47,0.00513324595893403,26,0.00283966797728266,147,0.0160550458715596,18,0.00196592398427261,19,0.00207514198339886,69,0.00753604193971166,2326.438,0.254088903451289,621,0.067824377457405,831,0.0907601572739187,5.438,0.00059392747924858,191,0.0208606378331149
"STOCKHOLM SKARPNÄCK",202218,8753,1950.277,0.222812407174683,427,0.0487832743059522,611,0.0698046384096881,222,0.0253627327773335,124,0.0141665714612133,4.277,0.000488632468867817,28,0.0031989032331772,78,0.00891123043527933,50,0.00571232720210214,231,0.0263909516737119,175,0.0199931452073575,1683.277,0.192308579915458,873,0.0997372329487033,267,0.0305038272592254,36,0.00411287558551354,124,0.0141665714612133,344,0.0393008111504627,29,0.00331314977721924,193,0.0220495830001142,124,0.0141665714612133,2.972,0.000339540728892951,0.53,6.05506683422826e-05,0,0,0.775,8.85410716325831e-05,58,0.00662629955443848,48,0.00548383411401805,50,0.00571232720210214,211,0.024106020792871,20,0.00228493088084085,19,0.00217068433679881,156,0.0178224608705587,1559.277,0.178142008454244,277,0.0316462926996458,124,0.0141665714612133,4.277,0.000488632468867817,281,0.032103278875814
"STOCKHOLM SKARPNÄCK",202217,8880,1757.939,0.197966103603604,395,0.044481981981982,448,0.0504504504504504,319,0.0359234234234234,120,0.0135135135135135,2.939,0.000330968468468468,63,0.00709459459459459,78,0.00878378378378378,42,0.00472972972972973,200,0.0225225225225225,90,0.0101351351351351,1513.939,0.170488626126126,711,0.0800675675675676,244,0.0274774774774775,31,0.00349099099099099,120,0.0135135135135135,204,0.022972972972973,73,0.00822072072072072,246,0.0277027027027027,120,0.0135135135135135,2.105,0.00023704954954955,0.65,7.31981981981982e-05,0,0,0.184,2.07207207207207e-05,100,0.0112612612612613,41,0.00461711711711712,42,0.00472972972972973,197,0.0221846846846847,3,0.000337837837837838,28,0.00315315315315315,62,0.00698198198198198,1393.939,0.156975112612613,318,0.0358108108108108,120,0.0135135135135135,2.939,0.000330968468468468,242,0.0272522522522523
