"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk_endast_manuell_disk","zoner_convrate_Fisk_endast_manuell_disk","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_1_bladet_eller_skagen","kampanj_convrate_Kampanj_1_bladet_eller_skagen","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_ABP","kampanj_convrate_ABP","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbvara","skylttyp_convrate_klubbvara","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris"
"STOCKHOLM SKARPNÄCK",202221,2022-05-27,1348,176,0.130563798219585,39,0.0289317507418398,13,0.00964391691394659,24,0.0178041543026706,0,0,5,0.00370919881305638,33,0.0244807121661721,2,0.00148367952522255,60,0.0445103857566766,170,0.126112759643917,100,0.0741839762611276,39,0.0289317507418398,7,0.00519287833827893,24,0.0178041543026706,0,0,5,0.00370919881305638,33,0.0244807121661721,2,0.00148367952522255,60,0.0445103857566766,170,0.126112759643917,6,0.00445103857566766,33,0.0244807121661721,26,0.0192878338278932,0,0,5,0.00370919881305638
"STOCKHOLM SKARPNÄCK",202221,2022-05-26,1314,167,0.127092846270928,34,0.0258751902587519,16,0.0121765601217656,34,0.0258751902587519,0,0,11,0.00837138508371385,27,0.0205479452054795,2,0.0015220700152207,43,0.0327245053272451,160,0.121765601217656,79,0.0601217656012177,34,0.0258751902587519,9,0.00684931506849315,34,0.0258751902587519,0,0,11,0.00837138508371385,27,0.0205479452054795,2,0.0015220700152207,43,0.0327245053272451,160,0.121765601217656,7,0.00532724505327245,27,0.0205479452054795,36,0.0273972602739726,0,0,11,0.00837138508371385
"STOCKHOLM SKARPNÄCK",202221,2022-05-25,1342,182,0.135618479880775,30,0.022354694485842,20,0.014903129657228,41,0.0305514157973174,0,0,14,0.0104321907600596,23,0.0171385991058122,2,0.0014903129657228,52,0.0387481371087928,175,0.130402384500745,88,0.0655737704918033,30,0.022354694485842,13,0.00968703427719821,41,0.0305514157973174,0,0,14,0.0104321907600596,23,0.0171385991058122,2,0.0014903129657228,52,0.0387481371087928,175,0.130402384500745,7,0.00521609538002981,23,0.0171385991058122,43,0.0320417287630402,0,0,14,0.0104321907600596
"STOCKHOLM SKARPNÄCK",202221,2022-05-24,1245,143,0.114859437751004,35,0.0281124497991968,27,0.0216867469879518,30,0.0240963855421687,0,0,6,0.00481927710843374,25,0.0200803212851406,2,0.00160642570281125,18,0.0144578313253012,133,0.106827309236948,60,0.0481927710843374,35,0.0281124497991968,17,0.0136546184738956,30,0.0240963855421687,0,0,6,0.00481927710843374,25,0.0200803212851406,2,0.00160642570281125,18,0.0144578313253012,133,0.106827309236948,10,0.00803212851405622,25,0.0200803212851406,32,0.0257028112449799,0,0,6,0.00481927710843374
"STOCKHOLM SKARPNÄCK",202221,2022-05-23,1218,99,0.0812807881773399,13,0.0106732348111658,13,0.0106732348111658,35,0.028735632183908,0,0,13,0.0106732348111658,12,0.00985221674876847,6,0.00492610837438424,7,0.00574712643678161,98,0.0804597701149425,31,0.0254515599343186,13,0.0106732348111658,12,0.00985221674876847,35,0.028735632183908,0,0,13,0.0106732348111658,12,0.00985221674876847,6,0.00492610837438424,7,0.00574712643678161,98,0.0804597701149425,1,0.000821018062397373,12,0.00985221674876847,41,0.0336617405582923,0,0,13,0.0106732348111658
"STOCKHOLM SKARPNÄCK",202220,2022-05-22,1419,261,0.183932346723044,78,0.0549682875264271,15,0.0105708245243129,53,0.0373502466525722,0,0,4,0.00281888653981677,72,0.0507399577167019,5,0.00352360817477097,34,0.0239605355884426,255,0.179704016913319,115,0.0810429880197322,78,0.0549682875264271,9,0.00634249471458774,53,0.0373502466525722,0,0,4,0.00281888653981677,72,0.0507399577167019,5,0.00352360817477097,34,0.0239605355884426,255,0.179704016913319,6,0.00422832980972516,72,0.0507399577167019,58,0.0408738548273432,0,0,4,0.00281888653981677
"STOCKHOLM SKARPNÄCK",202220,2022-05-21,1573,284.544,0.180892561983471,65,0.0413223140495868,23,0.0146217418944692,58,0.0368722186904005,0.544,0.000345835982199619,5,0.00317863954227591,56,0.0356007628734901,4,0.00254291163382072,73,0.0464081373172282,275.544,0.175171010807374,143,0.0909090909090909,65,0.0413223140495868,14,0.00890019071837254,58,0.0368722186904005,0.544,0.000345835982199619,5,0.00317863954227591,56,0.0356007628734901,4,0.00254291163382072,73,0.0464081373172282,275.544,0.175171010807374,9,0.00572155117609663,56,0.0356007628734901,62,0.0394151303242212,0.544,0.000345835982199619,5,0.00317863954227591
"STOCKHOLM SKARPNÄCK",202220,2022-05-20,1457,286,0.196293754289636,44,0.0301990391214825,17,0.0116678105696637,55,0.0377487989018531,0,0,13,0.00892244337680165,37,0.0253946465339739,2,0.00137268359643102,118,0.0809883321894303,279,0.191489361702128,165,0.113246396705559,44,0.0301990391214825,10,0.00686341798215511,55,0.0377487989018531,0,0,13,0.00892244337680165,37,0.0253946465339739,2,0.00137268359643102,118,0.0809883321894303,279,0.191489361702128,7,0.00480439258750858,37,0.0253946465339739,57,0.0391214824982841,0,0,13,0.00892244337680165
"STOCKHOLM SKARPNÄCK",202220,2022-05-19,1306,151,0.1156202143951,38,0.0290964777947933,21,0.0160796324655436,30,0.0229709035222052,0,0,7,0.00535987748851455,31,0.0237366003062787,2,0.00153139356814701,22,0.0168453292496172,144,0.110260336906585,67,0.051301684532925,38,0.0290964777947933,14,0.0107197549770291,30,0.0229709035222052,0,0,7,0.00535987748851455,31,0.0237366003062787,2,0.00153139356814701,22,0.0168453292496172,144,0.110260336906585,7,0.00535987748851455,31,0.0237366003062787,32,0.0245022970903522,0,0,7,0.00535987748851455
"STOCKHOLM SKARPNÄCK",202220,2022-05-18,1301,167,0.128362797847809,57,0.0438124519600307,22,0.0169100691775557,6,0.00461183704842429,0,0,12,0.00922367409684858,52,0.0399692544196772,3,0.00230591852421214,15,0.0115295926210607,162,0.124519600307456,84,0.06456571867794,57,0.0438124519600307,17,0.0130668716372022,6,0.00461183704842429,0,0,12,0.00922367409684858,52,0.0399692544196772,3,0.00230591852421214,15,0.0115295926210607,162,0.124519600307456,5,0.00384319754035357,52,0.0399692544196772,9,0.00691775557263643,0,0,12,0.00922367409684858
"STOCKHOLM SKARPNÄCK",202220,2022-05-17,1298,138,0.106317411402157,49,0.0377503852080123,15,0.0115562403697997,2,0.00154083204930663,0,0,7,0.00539291217257319,49,0.0377503852080123,0,0,16,0.012326656394453,138,0.106317411402157,80,0.061633281972265,49,0.0377503852080123,15,0.0115562403697997,2,0.00154083204930663,0,0,7,0.00539291217257319,49,0.0377503852080123,0,0,16,0.012326656394453,138,0.106317411402157,0,0,49,0.0377503852080123,2,0.00154083204930663,0,0,7,0.00539291217257319
"STOCKHOLM SKARPNÄCK",202220,2022-05-16,1301,122,0.0937740199846272,36,0.0276710222905457,13,0.00999231360491929,12,0.00922367409684858,0,0,10,0.00768639508070715,34,0.0261337432744043,0,0,17,0.0130668716372022,120,0.0922367409684858,62,0.0476556495003843,36,0.0276710222905457,11,0.00845503458877786,12,0.00922367409684858,0,0,10,0.00768639508070715,34,0.0261337432744043,0,0,17,0.0130668716372022,120,0.0922367409684858,2,0.00153727901614143,34,0.0261337432744043,12,0.00922367409684858,0,0,10,0.00768639508070715
"STOCKHOLM SKARPNÄCK",202219,2022-05-15,1409,142,0.100780695528744,41,0.0290986515259049,22,0.0156139105748758,11,0.0078069552874379,0,0,12,0.0085166784953868,41,0.0290986515259049,3,0.0021291696238467,12,0.0085166784953868,142,0.100780695528744,75,0.0532292405961675,41,0.0290986515259049,22,0.0156139105748758,11,0.0078069552874379,0,0,12,0.0085166784953868,41,0.0290986515259049,3,0.0021291696238467,12,0.0085166784953868,142,0.100780695528744,0,0,41,0.0290986515259049,14,0.0099361249112846,0,0,12,0.0085166784953868
"STOCKHOLM SKARPNÄCK",202219,2022-05-14,1572,241,0.153307888040712,46,0.0292620865139949,20,0.0127226463104326,15,0.00954198473282443,0,0,9,0.00572519083969466,43,0.02735368956743,2,0.00127226463104326,106,0.0674300254452926,238,0.151399491094148,166,0.10559796437659,46,0.0292620865139949,17,0.0108142493638677,15,0.00954198473282443,0,0,9,0.00572519083969466,43,0.02735368956743,2,0.00127226463104326,106,0.0674300254452926,238,0.151399491094148,3,0.00190839694656489,43,0.02735368956743,17,0.0108142493638677,0,0,9,0.00572519083969466
"STOCKHOLM SKARPNÄCK",202219,2022-05-13,1468,260,0.177111716621253,43,0.029291553133515,42,0.0286103542234332,14,0.00953678474114441,0,0,7,0.00476839237057221,25,0.0170299727520436,5,0.00340599455040872,124,0.0844686648501362,242,0.164850136239782,173,0.117847411444142,43,0.029291553133515,24,0.0163487738419619,14,0.00953678474114441,0,0,7,0.00476839237057221,25,0.0170299727520436,5,0.00340599455040872,124,0.0844686648501362,242,0.164850136239782,18,0.0122615803814714,25,0.0170299727520436,19,0.0129427792915531,0,0,7,0.00476839237057221
"STOCKHOLM SKARPNÄCK",202219,2022-05-12,1224,139,0.113562091503268,35,0.0285947712418301,17,0.0138888888888889,8,0.0065359477124183,0,0,10,0.00816993464052288,30,0.0245098039215686,3,0.00245098039215686,36,0.0294117647058824,134,0.109477124183007,78,0.0637254901960784,35,0.0285947712418301,12,0.00980392156862745,8,0.0065359477124183,0,0,10,0.00816993464052288,30,0.0245098039215686,3,0.00245098039215686,36,0.0294117647058824,134,0.109477124183007,5,0.00408496732026144,30,0.0245098039215686,11,0.00898692810457516,0,0,10,0.00816993464052288
"STOCKHOLM SKARPNÄCK",202219,2022-05-11,1183,173,0.146238377007608,59,0.0498732037193576,24,0.0202874049027895,6,0.00507185122569738,0,0,5,0.00422654268808115,51,0.0431107354184277,3,0.00253592561284869,25,0.0211327134404057,165,0.139475908706678,92,0.0777683854606932,59,0.0498732037193576,16,0.0135249366018597,6,0.00507185122569738,0,0,5,0.00422654268808115,51,0.0431107354184277,3,0.00253592561284869,25,0.0211327134404057,165,0.139475908706678,8,0.00676246830092984,51,0.0431107354184277,9,0.00760777683854607,0,0,5,0.00422654268808115
"STOCKHOLM SKARPNÄCK",202219,2022-05-10,1141,158,0.138475021910605,51,0.0446976336546889,25,0.0219106047326906,9,0.00788781770376862,0,0,19,0.0166520595968449,39,0.0341805433829974,1,0.000876424189307625,14,0.0122699386503067,146,0.127957931638913,66,0.0578439964943032,51,0.0446976336546889,13,0.0113935144609991,9,0.00788781770376862,0,0,19,0.0166520595968449,39,0.0341805433829974,1,0.000876424189307625,14,0.0122699386503067,146,0.127957931638913,12,0.0105170902716915,39,0.0341805433829974,10,0.00876424189307625,0,0,19,0.0166520595968449
"STOCKHOLM SKARPNÄCK",202219,2022-05-09,1159,142,0.122519413287317,48,0.0414150129421915,16,0.0138050043140638,13,0.0112165660051769,0,0,11,0.0094909404659189,42,0.0362381363244176,1,0.000862812769628991,11,0.0094909404659189,136,0.117342536669543,63,0.0543572044866264,48,0.0414150129421915,10,0.00862812769628991,13,0.0112165660051769,0,0,11,0.0094909404659189,42,0.0362381363244176,1,0.000862812769628991,11,0.0094909404659189,136,0.117342536669543,6,0.00517687661777394,42,0.0362381363244176,14,0.0120793787748059,0,0,11,0.0094909404659189
"STOCKHOLM SKARPNÄCK",202218,2022-05-08,1347,115,0.0853749072011878,37,0.0274684484038604,19,0.014105419450631,0,0,0,0,7,0.00519673348181143,34,0.0252412769116555,1,0.000742390497401633,17,0.0126206384558278,112,0.0831477357089829,67,0.0497401633259094,37,0.0274684484038604,16,0.0118782479584261,0,0,0,0,7,0.00519673348181143,34,0.0252412769116555,1,0.000742390497401633,17,0.0126206384558278,112,0.0831477357089829,3,0.0022271714922049,34,0.0252412769116555,1,0.000742390497401633,0,0,7,0.00519673348181143
"STOCKHOLM SKARPNÄCK",202218,2022-05-07,1381,161,0.116582186821144,35,0.0253439536567705,27,0.0195510499637944,10,0.00724112961622013,0,0,10,0.00724112961622013,25,0.0181028240405503,5,0.00362056480811007,49,0.0354815351194786,151,0.109341057204924,91,0.0658942795076032,35,0.0253439536567705,17,0.0123099203475742,10,0.00724112961622013,0,0,10,0.00724112961622013,25,0.0181028240405503,5,0.00362056480811007,49,0.0354815351194786,151,0.109341057204924,10,0.00724112961622013,25,0.0181028240405503,15,0.0108616944243302,0,0,10,0.00724112961622013
