"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_OBS_endast_trianglen","kampanj_convrate_OBS_endast_trianglen","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"ÖRNSKÖLDSVIK DOMSJÖ",202219,2022-05-13,1021,632.71,0.619696376101861,258,0.252693437806072,89,0.0871694417238002,26,0.0254652301665034,229,0.224289911851126,0.71,0.00069539666993144,8,0.00783545543584721,9,0.00881488736532811,5,0.00489715964740451,3,0.0029382957884427,5,0.00489715964740451,612.71,0.600107737512243,108,0.105778648383937,20,0.019588638589618,9,0.00881488736532811,229,0.224289911851126,69,0.0675808031341822,1,0.000979431929480901,25,0.0244857982370225,229,0.224289911851126,0.146,0.000142997061704212,0,0,0,0,0.564,0.000552399608227228,13,0.0127326150832517,4,0.0039177277179236,5,0.00489715964740451,3,0.0029382957884427,0,0,1,0.000979431929480901,4,0.0039177277179236,383.71,0.375817825661117,38,0.0372184133202742,229,0.224289911851126,0.71,0.00069539666993144,8,0.00783545543584721
"ÖRNSKÖLDSVIK DOMSJÖ",202219,2022-05-12,879,333.884,0.379845278725825,125,0.142207053469852,80,0.0910125142207053,29,0.0329920364050057,81,0.0921501706484642,0.884,0.00100568828213879,1,0.00113765642775882,2,0.00227531285551763,8,0.00910125142207053,5,0.00568828213879408,2,0.00227531285551763,312.884,0.35595449374289,88,0.100113765642776,21,0.0238907849829352,23,0.0261660978384528,81,0.0921501706484642,59,0.0671217292377702,3,0.00341296928327645,26,0.0295790671217292,81,0.0921501706484642,0.552,0.000627986348122867,0,0,0,0,0.332,0.000377701934015927,3,0.00341296928327645,0,0,8,0.00910125142207053,3,0.00341296928327645,2,0.00227531285551763,2,0.00227531285551763,0,0,231.884,0.263804323094425,49,0.055745164960182,81,0.0921501706484642,0.884,0.00100568828213879,13,0.0147895335608646
"ÖRNSKÖLDSVIK DOMSJÖ",202219,2022-05-11,867,374.514,0.431965397923875,159,0.183391003460208,45,0.0519031141868512,43,0.04959630911188,110,0.126874279123414,0.514,0.000592848904267589,4,0.00461361014994233,5,0.00576701268742791,0,0,6,0.0069204152249135,2,0.00230680507497117,348.514,0.40197693194925,54,0.0622837370242214,26,0.0299884659746251,23,0.0265282583621684,110,0.126874279123414,19,0.0219146482122261,1,0.00115340253748558,42,0.0484429065743945,110,0.126874279123414,0.088,0.000101499423298731,0,0,0,0,0.426,0.000491349480968858,6,0.0069204152249135,3,0.00346020761245675,0,0,6,0.0069204152249135,0,0,1,0.00115340253748558,1,0.00115340253748558,238.514,0.275102652825836,68,0.0784313725490196,110,0.126874279123414,0.514,0.000592848904267589,6,0.0069204152249135
"ÖRNSKÖLDSVIK DOMSJÖ",202219,2022-05-10,864,280.308,0.324430555555556,115,0.133101851851852,38,0.0439814814814815,22,0.025462962962963,84,0.0972222222222222,0.308,0.000356481481481481,0,0,10,0.0115740740740741,3,0.00347222222222222,6,0.00694444444444444,2,0.00231481481481481,270.308,0.312856481481481,48,0.0555555555555556,10,0.0115740740740741,21,0.0243055555555556,84,0.0972222222222222,28,0.0324074074074074,3,0.00347222222222222,19,0.0219907407407407,84,0.0972222222222222,0.086,9.9537037037037e-05,0,0,0,0,0.222,0.000256944444444444,5,0.00578703703703704,5,0.00578703703703704,3,0.00347222222222222,6,0.00694444444444444,0,0,1,0.00115740740740741,1,0.00115740740740741,186.308,0.215634259259259,45,0.0520833333333333,84,0.0972222222222222,0.308,0.000356481481481481,9,0.0104166666666667
"ÖRNSKÖLDSVIK DOMSJÖ",202219,2022-05-09,881,312.376,0.354569807037457,128,0.145289443813848,34,0.0385925085130533,13,0.0147559591373439,102,0.11577752553916,0.376,0.000426787741203178,5,0.00567536889897843,9,0.0102156640181612,4,0.00454029511918275,15,0.0170261066969353,2,0.00227014755959137,303.376,0.344354143019296,46,0.0522133938706016,9,0.0102156640181612,17,0.0192962542565267,102,0.11577752553916,25,0.0283768444948922,3,0.00340522133938706,10,0.0113507377979569,102,0.11577752553916,0.376,0.000426787741203178,0,0,0,0,0,0,7,0.00794551645856981,7,0.00794551645856981,4,0.00454029511918275,13,0.0147559591373439,2,0.00227014755959137,1,0.00113507377979569,1,0.00113507377979569,201.376,0.228576617480136,34,0.0385925085130533,102,0.11577752553916,0.376,0.000426787741203178,19,0.021566401816118
"ÖRNSKÖLDSVIK DOMSJÖ",202218,2022-05-08,804,170,0.211442786069652,39,0.0485074626865672,41,0.0509950248756219,25,0.0310945273631841,27,0.0335820895522388,0,0,2,0.00248756218905473,1,0.00124378109452736,0,0,32,0.0398009950248756,3,0.00373134328358209,160,0.199004975124378,46,0.0572139303482587,10,0.0124378109452736,2,0.00248756218905473,27,0.0335820895522388,31,0.0385572139303483,0,0,25,0.0310945273631841,27,0.0335820895522388,0,0,0,0,0,0,0,0,2,0.00248756218905473,1,0.00124378109452736,0,0,32,0.0398009950248756,0,0,1,0.00124378109452736,2,0.00248756218905473,133,0.165422885572139,28,0.0348258706467662,27,0.0335820895522388,0,0,32,0.0398009950248756
"ÖRNSKÖLDSVIK DOMSJÖ",202218,2022-05-07,952,204.806,0.215132352941176,49,0.0514705882352941,60,0.0630252100840336,38,0.0399159663865546,27,0.0283613445378151,0.806,0.000846638655462185,0,0,4,0.00420168067226891,10,0.0105042016806723,8,0.00840336134453781,8,0.00840336134453781,187.806,0.197275210084034,75,0.078781512605042,17,0.0178571428571429,5,0.00525210084033613,27,0.0283613445378151,43,0.0451680672268908,4,0.00420168067226891,34,0.0357142857142857,27,0.0283613445378151,0.806,0.000846638655462185,0,0,0,0,0,0,3,0.00315126050420168,1,0.00105042016806723,10,0.0105042016806723,6,0.00630252100840336,2,0.00210084033613445,2,0.00210084033613445,6,0.00630252100840336,160.806,0.168913865546219,40,0.0420168067226891,27,0.0283613445378151,0.806,0.000846638655462185,18,0.0189075630252101
"ÖRNSKÖLDSVIK DOMSJÖ",202218,2022-05-06,1049,229.28,0.218570066730219,55,0.0524308865586273,52,0.0495710200190658,39,0.0371782650142993,32,0.0305052430886559,0.28,0.000266920877025739,3,0.00285986653956149,7,0.00667302192564347,15,0.0142993326978074,14,0.0133460438512869,12,0.0114394661582459,211.28,0.20141086749285,73,0.0695900857959962,18,0.0171591992373689,5,0.00476644423260248,32,0.0305052430886559,34,0.0324118207816969,2,0.00190657769304099,37,0.0352716873212583,32,0.0305052430886559,0.28,0.000266920877025739,0,0,0,0,0,0,7,0.00667302192564347,3,0.00285986653956149,15,0.0142993326978074,14,0.0133460438512869,0,0,3,0.00285986653956149,9,0.00857959961868446,179.28,0.170905624404194,45,0.0428979980934223,32,0.0305052430886559,0.28,0.000266920877025739,29,0.0276453765490944
"ÖRNSKÖLDSVIK DOMSJÖ",202218,2022-05-05,961,199.142,0.20722372528616,52,0.0541103017689906,55,0.0572320499479709,19,0.0197710718002081,29,0.0301768990634755,0.142,0.000147762747138397,3,0.00312174817898023,9,0.00936524453694069,6,0.00624349635796046,19,0.0197710718002081,7,0.0072840790842872,179.142,0.186412070759625,74,0.077003121748179,20,0.0208116545265349,3,0.00312174817898023,29,0.0301768990634755,35,0.036420395421436,2,0.00208116545265349,17,0.0176899063475546,29,0.0301768990634755,0.142,0.000147762747138397,0,0,0,0,0,0,10,0.0104058272632674,2,0.00208116545265349,6,0.00624349635796046,19,0.0197710718002081,0,0,2,0.00208116545265349,5,0.00520291363163371,150.142,0.15623517169615,22,0.0228928199791883,29,0.0301768990634755,0.142,0.000147762747138397,25,0.0260145681581686
"ÖRNSKÖLDSVIK DOMSJÖ",202218,2022-05-04,870,160,0.183908045977011,32,0.0367816091954023,57,0.0655172413793104,28,0.032183908045977,21,0.0241379310344828,0,0,1,0.00114942528735632,6,0.00689655172413793,0,0,12,0.0137931034482759,3,0.00344827586206897,149,0.171264367816092,68,0.0781609195402299,11,0.0126436781609195,0,0,21,0.0241379310344828,46,0.0528735632183908,4,0.00459770114942529,24,0.0275862068965517,21,0.0241379310344828,0,0,0,0,0,0,0,0,4,0.00459770114942529,3,0.00344827586206897,0,0,12,0.0137931034482759,0,0,0,0,3,0.00344827586206897,128,0.147126436781609,27,0.0310344827586207,21,0.0241379310344828,0,0,12,0.0137931034482759
