"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Kampanj_1_Deli","kampanj_convrate_Kampanj_1_Deli","kampanj_count_Kampanj_2_Deli","kampanj_convrate_Kampanj_2_Deli","kampanj_count_Kampanj_3_Deli","kampanj_convrate_Kampanj_3_Deli","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_1_Gavel_2","kampanj_convrate_Vara_1_Gavel_2","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"OSKARSTRÖM BLÅKLINTSVÄGEN",202222,5778,593.94,0.102793354101765,22,0.00380754586362063,54.94,0.00950848044305988,55,0.00951886465905158,99,0.0171339563862928,2,0.000346140533056421,1,0.00017307026652821,1,0.00017307026652821,306,0.0529595015576324,34,0.00588438906195916,13,0.00224991346486674,6,0.00103842159916926,578.94,0.100197300103842,118.94,0.0205849775008654,15,0.00259605399792316,0,0,7,0.00121149186569747,39.94,0.00691242644513673,48,0.0083073727933541,7,0.00121149186569747,0,0,99,0.0171339563862928,2,0.000346140533056421,0,0,0,0,1,0.00017307026652821,1,0.00017307026652821,286,0.0494980962270682,20,0.00346140533056421,34,0.00588438906195916,13,0.00224991346486674,6,0.00103842159916926,578.94,0.100197300103842,307,0.0531325718241606,7,0.00121149186569747,146,0.0252682589131187
"OSKARSTRÖM BLÅKLINTSVÄGEN",202221,5725,403.315,0.0704480349344978,43,0.00751091703056769,61.315,0.0107100436681223,65,0.011353711790393,86,0.0150218340611354,0,0,65,0.011353711790393,4,0.000698689956331878,33,0.00576419213973799,29,0.00506550218340611,7,0.00122270742358079,10,0.00174672489082969,371.315,0.0648585152838428,172.315,0.0300986899563319,32,0.00558951965065502,0,0,11,0.00192139737991266,29.315,0.00512052401746725,54,0.00943231441048035,11,0.00192139737991266,0,0,86,0.0150218340611354,0,0,0,0,0,0,65,0.011353711790393,4,0.000698689956331878,24,0.00419213973799127,9,0.00157205240174672,29,0.00506550218340611,7,0.00122270742358079,10,0.00174672489082969,371.315,0.0648585152838428,66,0.011528384279476,11,0.00192139737991266,122,0.0213100436681223
"OSKARSTRÖM BLÅKLINTSVÄGEN",202220,5821,405.305,0.0696280707782168,96,0.0164920116818416,118.305,0.0203238275210445,43,0.00738704689915822,78,0.0133997594914963,0,0,0,0,3,0.00051537536505755,34,0.00584092080398557,18,0.0030922521903453,4,0.000687167153410067,11,0.00188970967187768,320.305,0.0550257687682529,94.305,0.0162008246005841,85,0.0146023020099639,0,0,11,0.00188970967187768,33.305,0.00572152551108057,39,0.00669987974574815,4,0.000687167153410067,0,0,78,0.0133997594914963,0,0,0,0,0,0,0,0,3,0.00051537536505755,19,0.00326404397869782,15,0.00257687682528775,18,0.0030922521903453,4,0.000687167153410067,11,0.00188970967187768,320.305,0.0550257687682529,115,0.0197560556605394,11,0.00188970967187768,100,0.0171791788352517
"OSKARSTRÖM BLÅKLINTSVÄGEN",202219,5657,426.98,0.0754781686406222,40,0.00707088562842496,161.98,0.0286335513523069,84,0.0148488598196924,52,0.00919215131695245,0,0,3,0.000530316422131872,4,0.000707088562842496,48,0.00848506275410995,21,0.0037122149549231,6,0.00106063284426374,7,0.00123740498497437,403.98,0.0714124094042779,254.98,0.0450733604383949,23,0.00406575923634435,0,0,17,0.00300512639208061,138.98,0.0245677921159625,71,0.0125508219904543,13,0.00229803782923811,0,0,52,0.00919215131695245,0,0,0,0,0,0,3,0.000530316422131872,4,0.000707088562842496,23,0.00406575923634435,25,0.0044193035177656,21,0.0037122149549231,6,0.00106063284426374,7,0.00123740498497437,403.98,0.0714124094042779,53,0.00936892345766307,17,0.00300512639208061,79,0.0139649991161393
"OSKARSTRÖM BLÅKLINTSVÄGEN",202218,5555,356.335,0.0641467146714671,23,0.00414041404140414,52.335,0.00942124212421242,42,0.00756075607560756,97,0.0174617461746175,0,0,64,0.0115211521152115,3,0.00054005400540054,37,0.00666066606660666,28,0.00504050405040504,4,0.00072007200720072,6,0.00108010801080108,344.335,0.061986498649865,156.335,0.0281431143114311,12,0.00216021602160216,0,0,11,0.00198019801980198,40.335,0.00726102610261026,38,0.00684068406840684,4,0.00072007200720072,0,0,97,0.0174617461746175,0,0,0,0,0,0,64,0.0115211521152115,3,0.00054005400540054,30,0.0054005400540054,7,0.00126012601260126,28,0.00504050405040504,4,0.00072007200720072,6,0.00108010801080108,344.335,0.061986498649865,48,0.00864086408640864,11,0.00198019801980198,129,0.0232223222322232
"OSKARSTRÖM BLÅKLINTSVÄGEN",202217,5454,387.77,0.0710982764943161,42,0.0077007700770077,71.77,0.0131591492482582,37,0.00678401173450678,91,0.0166850018335167,0,0,6,0.0011001100110011,3,0.00055005500550055,101,0.0185185185185185,21,0.00385038503850385,6,0.0011001100110011,9,0.00165016501650165,363.77,0.0666978364503117,184.77,0.0338778877887789,24,0.0044004400440044,0,0,18,0.0033003300330033,47.77,0.00875870920425376,35,0.00641730839750642,2,0.000366703337000367,0,0,91,0.0166850018335167,0,0,0,0,0,0,6,0.0011001100110011,3,0.00055005500550055,10,0.00183351668500183,91,0.0166850018335167,21,0.00385038503850385,6,0.0011001100110011,9,0.00165016501650165,363.77,0.0666978364503117,43,0.00788412174550788,18,0.0033003300330033,118,0.0216354968830216
"ÖRNSKÖLDSVIK DOMSJÖ",202237,6094,2549.507,0.418363472267804,816,0.133902198884148,167.675,0.0275147686248769,112,0.0183787331801772,533,0.0874630784378077,3,0.000492287495897604,53.832,0.00883360682638661,22,0.0036101083032491,685,0.11240564489662,30,0.00492287495897604,8,0.00131276665572694,119,0.0195274040039383,2458.507,0.40343075155891,609.507,0.10001755825402,91,0.014932720708894,27,0.00443058746307844,698,0.114538890712176,76.675,0.0125820479159829,83,0.013619954053167,29,0.00475877912701017,390,0.0639973744666885,143,0.0234657039711191,3,0.000492287495897604,1.815,0.000297833935018051,4.017,0.000659172957006892,48,0.00787659993436167,22,0.0036101083032491,370,0.0607154578273712,315,0.0516901870692484,30,0.00492287495897604,8,0.00131276665572694,119,0.0195274040039383,2458.507,0.40343075155891,970,0.159172957006892,698,0.114538890712176,181,0.0297013455858221
"ÖRNSKÖLDSVIK DOMSJÖ",202233,7074,298.764,0.042234096692112,14,0.00197907831495618,49.87,0.00704975968334747,88,0.0124399208368674,30,0.00424088210347752,0,0,0.894,0.00012637828668363,4,0.000565450947130336,70,0.00989539157478089,30,0.00424088210347752,4,0.000565450947130336,8,0.00113090189426067,298.764,0.042234096692112,170.764,0.0241396663839412,0,0,0,0,14,0.00197907831495618,49.87,0.00704975968334747,72,0.0101781170483461,16,0.00226180378852135,0,0,30,0.00424088210347752,0,0,0.206,2.91207237772123e-05,0.688,9.72575629064179e-05,0,0,4,0.000565450947130336,42,0.00593723494486853,28,0.00395815662991235,30,0.00424088210347752,4,0.000565450947130336,8,0.00113090189426067,298.764,0.042234096692112,50,0.00706813683912921,14,0.00197907831495618,64,0.00904721515408538
"ÖRNSKÖLDSVIK DOMSJÖ",202232,6889,383.706,0.0556983597038757,21,0.00304833793003339,109.05,0.0158295833938162,115,0.016693279140659,39,0.00566119901291915,0,0,0.656,9.5224270576281e-05,7,0.00101611264334446,62,0.00899985484105095,13,0.00188706633763972,4,0.000580635796196835,13,0.00188706633763972,383.706,0.0556983597038757,254.706,0.0369728552765278,0,0,0,0,21,0.00304833793003339,109.05,0.0158295833938162,96,0.0139352591087241,19,0.00275802003193497,0,0,39,0.00566119901291915,0,0,0,0,0.656,9.5224270576281e-05,0,0,7,0.00101611264334446,39,0.00566119901291915,23,0.0033386558281318,13,0.00188706633763972,4,0.000580635796196835,13,0.00188706633763972,383.706,0.0556983597038757,52,0.00754826535055886,21,0.00304833793003339,56,0.0081289011467557
"ÖRNSKÖLDSVIK DOMSJÖ",202231,6495,267.945,0.0412540415704388,14,0.00215550423402617,53.275,0.00820246343341031,57,0.00877598152424942,39,0.00600461893764434,0,0,1.67,0.000257120862201694,6,0.00092378752886836,70,0.0107775211701309,18,0.00277136258660508,3,0.00046189376443418,6,0.00092378752886836,267.945,0.0412540415704388,144.945,0.0223163972286374,0,0,0,0,14,0.00215550423402617,53.275,0.00820246343341031,39,0.00600461893764434,18,0.00277136258660508,0,0,39,0.00600461893764434,0,0,0,0,1.67,0.000257120862201694,0,0,6,0.00092378752886836,43,0.00662047729022325,27,0.00415704387990762,18,0.00277136258660508,3,0.00046189376443418,6,0.00092378752886836,267.945,0.0412540415704388,49,0.00754426481909161,14,0.00215550423402617,60,0.0092378752886836
