"butik","vecka","antal_kvitton","sales_zoner_count_TOTAL","sales_zoner_convrate_TOTAL","sales_zoner_count_Inkastare/entré","sales_zoner_convrate_Inkastare/entré","sales_zoner_count_F&G","sales_zoner_convrate_F&G","sales_zoner_count_Bröd","sales_zoner_convrate_Bröd","sales_zoner_count_Bake off","sales_zoner_convrate_Bake off","sales_zoner_count_Fisk - endast manuell disk","sales_zoner_convrate_Fisk - endast manuell disk","sales_zoner_count_Deli - endast manuell","sales_zoner_convrate_Deli - endast manuell","sales_zoner_count_Frys","sales_zoner_convrate_Frys","sales_zoner_count_Mejeri","sales_zoner_convrate_Mejeri","sales_zoner_count_Gavel 1","sales_zoner_convrate_Gavel 1","sales_zoner_count_Gavel 2","sales_zoner_convrate_Gavel 2","sales_zoner_count_Gavel 3","sales_zoner_convrate_Gavel 3","sales_kampanj_count_TOTAL","sales_kampanj_convrate_TOTAL","sales_kampanj_count_Kampanj 1 - F&G 1","sales_kampanj_convrate_Kampanj 1 - F&G 1","sales_kampanj_count_Kampanj 2 - F&G 2","sales_kampanj_convrate_Kampanj 2 - F&G 2","sales_kampanj_count_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_convrate_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_count_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_convrate_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_count_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_convrate_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_count_Kampanj 2 - om ej två kampanjer, multi ABP","sales_kampanj_convrate_Kampanj 2 - om ej två kampanjer, multi ABP","sales_kampanj_count_Kampanj 1 - bladet eller skagen","sales_kampanj_convrate_Kampanj 1 - bladet eller skagen","sales_kampanj_count_Kampanj 1 - Triangeln, Mölnlycke, Dala-Järna","sales_kampanj_convrate_Kampanj 1 - Triangeln, Mölnlycke, Dala-Järna","sales_kampanj_count_Kampanj 1 Frys","sales_kampanj_convrate_Kampanj 1 Frys","sales_kampanj_count_Kampanj 1 Mejeri","sales_kampanj_convrate_Kampanj 1 Mejeri","sales_kampanj_count_Kampanj 2 Mejeri","sales_kampanj_convrate_Kampanj 2 Mejeri","sales_kampanj_count_Kampanj 3 – Bomben","sales_kampanj_convrate_Kampanj 3 – Bomben","sales_kampanj_count_ABP","sales_kampanj_convrate_ABP","sales_kampanj_count_Kampanj 1 - dryck","sales_kampanj_convrate_Kampanj 1 - dryck","sales_kampanj_count_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_kampanj_convrate_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_skylttyp_count_TOTAL","sales_skylttyp_convrate_TOTAL","sales_skylttyp_count_klubbvara","sales_skylttyp_convrate_klubbvara","sales_skylttyp_count_kampanjvara","sales_skylttyp_convrate_kampanjvara","sales_skylttyp_count_veckans klipp","sales_skylttyp_convrate_veckans klipp","sales_skylttyp_count_alltid bra pris","sales_skylttyp_convrate_alltid bra pris","sales_skylttyp_count_klubbpris","sales_skylttyp_convrate_klubbpris","sales_skylttyp_count_ordinarie","sales_skylttyp_convrate_ordinarie"
"HEMKÖP FALUN C",202217,14206,1252,0.0881317753062086,279,0.019639588906096,119,0.00837674222159651,29,0.00204139096156554,312,0.021962551034774,0,0,0,0,12,0.000844713501337463,161,0.0113332394762776,62,0.00436435309024356,14,0.000985499084893707,264,0.0185836970294242,1188,0.0836266366324088,279,0.019639588906096,55,0.00387160354779671,26,0.00183021258623117,3,0.000211178375334366,290,0.0204139096156554,22,0.00154864141911868,0,0,0,0,12,0.000844713501337463,133,0.00936224130649022,28,0.00197099816978741,62,0.00436435309024356,14,0.000985499084893707,16,0.00112628466844995,248,0.0174574123609742,1188,0.0836266366324088,64,0.0045051386737998,575,0.0404758552724201,62,0.00436435309024356,304,0.0213994087005491,183,0.0128818808953963,0,0
"HEMKÖP FALUN C",202216,11375,907,0.0797362637362637,219,0.0192527472527473,81,0.00712087912087912,23,0.00202197802197802,209,0.0183736263736264,0,0,0,0,14,0.00123076923076923,69,0.00606593406593407,54,0.00474725274725275,11,0.000967032967032967,227,0.019956043956044,869,0.0763956043956044,219,0.0192527472527473,43,0.00378021978021978,20,0.00175824175824176,3,0.000263736263736264,196,0.0172307692307692,13,0.00114285714285714,0,0,0,0,14,0.00123076923076923,33,0.0029010989010989,36,0.00316483516483517,54,0.00474725274725275,11,0.000967032967032967,24,0.00210989010989011,203,0.0178461538461538,869,0.0763956043956044,38,0.00334065934065934,488,0.0429010989010989,54,0.00474725274725275,207,0.0181978021978022,82,0.00720879120879121,0,0
"HEMKÖP FALUN C",202215,12934,1646.196,0.127276635224988,584,0.0451523117365084,439,0.0339415494046699,25,0.00193289005721355,202,0.0156177516622854,1.196,9.2469460337096e-05,0,0,30,0.00231946806865626,50,0.00386578011442709,62,0.00479356734188959,7,0.000541209216019793,246,0.0190196381629813,1255.196,0.0970462347301685,584,0.0451523117365084,48,0.00371114890985001,23,0.00177825885263646,2,0.000154631204577084,188,0.0145353332302459,14,0.00108241843203959,1.196,9.2469460337096e-05,0,0,30,0.00231946806865626,24,0.001855574454925,26,0.00201020565950209,62,0.00479356734188959,7,0.000541209216019793,46,0.00355651770527292,200,0.0154631204577084,1255.196,0.0970462347301685,391,0.0302304004948199,542,0.0419050564403897,62,0.00479356734188959,195,0.0150765424462657,64,0.00494819854646668,1.196,9.2469460337096e-05
"HEMKÖP FALUN C",202214,14236,1275.501,0.0895968670974993,268,0.01882551278449,114,0.0080078673784771,36,0.00252880022478224,253,0.0177718460241641,0,0,0.501,3.51924697948862e-05,110,0.00772688957572352,79,0.00554931160438325,71,0.00498735599887609,28,0.00196684461927508,316,0.022197246417533,1203.501,0.0845392666479348,268,0.01882551278449,42,0.00295026692891262,31,0.00217757797134026,5,0.000351222253441978,232,0.0162967125597078,21,0.00147513346445631,0,0,0.501,3.51924697948862e-05,110,0.00772688957572352,40,0.00280977802753582,39,0.00273953357684743,71,0.00498735599887609,28,0.00196684461927508,20,0.00140488901376791,296,0.0207923574037651,1203.501,0.0845392666479348,72,0.00505760044956448,700.501,0.0492063079516718,71,0.00498735599887609,260,0.0182635571789829,100,0.00702444506883956,0,0
"HEMKÖP FALUN C",202213,14861,2259.184,0.152020994549492,932,0.0627144875849539,410,0.0275889913195613,35,0.0023551577955723,356,0.0239553192921069,0,0,11.184,0.000752573851019447,113,0.00760379516856201,63,0.00423928403203015,81,0.00545050804118162,26,0.00174954579099657,232,0.0156113316735078,1903.184,0.128065675257385,932,0.0627144875849539,54,0.00363367202745441,32,0.00215328712738039,3,0.000201870668191912,337,0.0226768050602248,19,0.00127851423188211,0,0,11.184,0.000752573851019447,113,0.00760379516856201,25,0.00168225556826593,38,0.00255702846376422,81,0.00545050804118162,26,0.00174954579099657,21,0.00141309467734338,211,0.0141982369961645,1903.184,0.128065675257385,356,0.0239553192921069,1021.184,0.0687156988089631,81,0.00545050804118162,363,0.0244263508512213,82,0.00551779826391225,0,0
"HEMKÖP FALUN C",202212,14643,1229,0.0839308884791368,217,0.0148193676159257,117,0.00799016594960049,29,0.00198046848323431,313,0.0213754012155979,0,0,0,0,15,0.00102438024994878,217,0.0148193676159257,55,0.00375606091647886,17,0.00116096428327529,249,0.0170047121491498,1194,0.081540667895923,217,0.0148193676159257,82,0.00559994536638667,24,0.00163900839991805,5,0.00034146008331626,296,0.0202144369323226,17,0.00116096428327529,0,0,0,0,15,0.00102438024994878,57,0.00389264494980537,160,0.0109267226661203,55,0.00375606091647886,17,0.00116096428327529,14,0.000956088233285529,235,0.0160486239158642,1194,0.081540667895923,35,0.00239022058321382,557,0.0380386532814314,55,0.00375606091647886,313,0.0213754012155979,234,0.015980331899201,0,0
"HEMKÖP FALUN C",202211,14521,1548,0.106604228358928,268,0.018456029199091,460,0.0316782590730666,113,0.0077818332070794,248,0.0170787135872185,0,0,0,0,23,0.00158391295365333,65,0.0044762757385855,74,0.0050960677639281,13,0.000895255147717099,284,0.0195578816885889,1484,0.102196818400937,268,0.018456029199091,396,0.0272708491150747,108,0.00743750430411129,5,0.000344328902968115,233,0.0160457268783142,15,0.00103298670890435,0,0,0,0,23,0.00158391295365333,30,0.00206597341780869,35,0.00241030232077681,74,0.0050960677639281,13,0.000895255147717099,63,0.00433854417739825,221,0.0152193375111907,1484,0.102196818400937,64,0.00440740995799187,1020,0.0702430962054955,74,0.0050960677639281,246,0.0169409820260313,80,0.00550926244748984,0,0
"HEMKÖP FALUN C",202210,14416,2032.085,0.140960391231964,605,0.0419672586015538,524,0.0363485016648169,24,0.00166481687014428,339,0.023515538290788,0,0,0.085,5.89622641509434e-06,17,0.00117924528301887,116,0.00804661487236404,57,0.00395394006659267,30,0.00208102108768036,320,0.0221975582685905,1600.085,0.110993687569367,605,0.0419672586015538,92,0.00638179800221976,21,0.00145671476137625,3,0.000208102108768036,325,0.0225443951165372,14,0.000971143174250832,0,0,0.085,5.89622641509434e-06,17,0.00117924528301887,77,0.00534128745837958,39,0.00270532741398446,57,0.00395394006659267,30,0.00208102108768036,13,0.000901775804661487,307,0.021295782463929,1600.085,0.110993687569367,432,0.0299667036625971,626.085,0.0434298695893452,57,0.00395394006659267,355,0.0246254162042175,130,0.00901775804661487,0,0
"HEMKÖP FALUN C",202209,12199,1615.397,0.132420444298713,242,0.0198376916140667,498,0.0408230182801869,28,0.00229527010410689,300,0.0245921796868596,0,0,7.397,0.000606361177145668,24,0.00196737437494877,172,0.0140995163537995,78,0.00639396671858349,39,0.00319698335929175,227,0.0186080826297237,1571.397,0.128813591277974,242,0.0198376916140667,454,0.0372161652594475,25,0.0020493483072383,3,0.000245921796868596,276,0.0226248053119108,24,0.00196737437494877,0,0,7.397,0.000606361177145668,24,0.00196737437494877,123,0.0100827936716124,49,0.00401672268218706,78,0.00639396671858349,39,0.00319698335929175,21,0.00172145257808017,206,0.0168866300516436,1571.397,0.128813591277974,44,0.0036068530207394,938.397,0.0769240921386999,78,0.00639396671858349,315,0.0258217886712026,196,0.0160668907287483,0,0
"HEMKÖP FALUN C",202208,13757,1482.251,0.10774522061496,597,0.0433960892636476,118,0.00857745147924693,42,0.00305299120447772,301,0.021879770298757,0,0,2.251,0.000163625790506651,31,0.00225339826997165,64,0.00465217707348986,74,0.00537907974122265,18,0.00130842480191902,235,0.0170822126917206,1411.251,0.102584211674057,597,0.0433960892636476,47,0.00341644253834412,34,0.00247146907029149,8,0.000581522134186232,273,0.0198444428291052,28,0.00203532746965181,0,0,2.251,0.000163625790506651,31,0.00225339826997165,34,0.00247146907029149,30,0.00218070800319837,74,0.00537907974122265,18,0.00130842480191902,15,0.00109035400159919,220,0.0159918586901214,1411.251,0.102584211674057,71,0.00516100894090281,883.251,0.0642037508177655,74,0.00537907974122265,291,0.0211528676310242,92,0.00668750454314167,0,0
